period,accruedExpenses,additionalPaidInCapital,cashDuefromBanks,commonStockTotal,customerLiabilityAcceptances,deferredIncomeTax,goodwillNet,intangiblesNet,longTermDebt,longTermInvestments,minorityInterest_x,netLoans,otherAssetsTotal,otherCurrentliabilitiesTotal,otherEarningAssetsTotal,otherEquityTotal,otherLiabilitiesTotal,otherLongTermAssetsTotal,preferredStockNonRedeemableNet,propertyPlantEquipmentTotalNet,retainedEarnings,tangibleBookValueperShare,totalAssets,totalCommonSharesOutstanding,totalDebt,totalDeposits,totalEquity,totalLiabilities,totalLiabilitiesShareholdersEquity,totalLongTermDebt,totalShortTermBorrowings,unrealizedGainLoss,dilutedAverageShares,dilutedEPS,interestIncomeBank,loanLossProvision,minorityInterest_y,netIncome,netIncomeAfterTaxes,netIncomeBeforeTaxes,netInterestIncAfterLoanLossProv,netInterestIncome,nonInterestExpenseBank,nonInterestIncomeBank,provisionforIncomeTaxes,totalAdjustmentstoNetIncome,totalInterestExpense,capitalExpenditures,cashInterestPaid,cashTaxesPaid,cashfromFinancingActivities,cashfromInvestingActivities,cashfromOperatingActivities,changesinWorkingCapital,depreciationDepletion,financingCashFlowItems,foreignExchangeEffects,issuanceRetirementofDebtNet,issuanceRetirementofStockNet,netChangeinCash,netIncomeStartingLine,nonCashItems,otherInvestingCashFlowItemsTotal,totalCashDividendsPaid,ticker,market,accountsPayable,accumulatedDepreciationTotal,currentPortofLTDebtCapitalLeases,otherBearingLiabilitiesTotal,propertyPlantEquipmentTotalGross,amortization,accountsReceivableTradeNet,cashEquivalents,cashandShortTermInvestments,noteReceivableLongTerm,notesPayableShortTermDebt,otherCurrentAssetsTotal,otherReceivables,payableAccrued,shortTermInvestments,totalCurrentAssets,totalCurrentLiabilities,totalReceivablesNet,depreciationAmortization,gainLossonSaleofAssets,interestExpIncNetOperatingTotal,interestIncExpNetNonOperatingTotal,operatingIncome,otherNonOperatingIncExpNet,otherOperatingExpensesTotal,revenue,sellingGeneralAdminExpensesTotal,totalOperatingExpense,unusualExpenseIncome,deferredPolicyAcquisitionCosts,eSOPDebtGuarantee,insuranceReceivables,policyLiabilities,prepaidExpenses,amortizationofPolicyAcquisitionCosts,lossesBenefitsandAdjustmentsTotal,netInvestmentIncome,otherRevenueTotal,realizedUnrealizedGainsLosses,totalPremiumsEarned,cash,totalInventory,costofRevenueTotal,fuelExpense,grossProfit,researchDevelopment,treasuryStockCommon,equityInAffiliates,totalPreferredSharesOutstanding,deferredTaxes,minorityInterest,redeemablePreferredStockTotal,cashPayments,cashReceipts,totalUtilityPlantNet
2019-06-30,,,278500.6,52864.0,,6302.0,,,0.0,1627.0,5057.0,1346499.0,83290.0,5436.0,1190874.18,22759.0,165840.0,63.0,,51779,177848.0,27.60012,2988440.0,10572.78027,179773.0,2261561.0,291810.0,2696630.0,2988440.0,1953.0,163860.0,38339.0,10572.78027,1.63794,33605.0,717.0,-327.0,17949.0,18276.0,21552.0,19186.0,19903.0,-33249.0,35615.0,3276.0,-695.0,13702.0,-552.0,1048,463,-11219.0,-2401.0,-274644.0,-294097.0,1402.0,-1165,3778,-295.0,,-284486.0,20848,-2797,-1849.0,-9759.0,2388.HK,HK,72661,-8172,13960,,59951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-12-31,,,,23243.0,,15117.0,14128.0,5983.0,38798.0,19828.0,9987.0,,,20962.0,,-3603.0,7917.0,3193.0,,149665,89702.0,35.31872,221623.0,2526.45057,52448.0,,109342.0,112281.0,221623.0,38798.0,,,2526.451,2.25913,,,-471.0,5651.0,6122.0,7589.0,,,,,1467.0,-87.0,,-5792.0,1104,606,-8266.0,-3429.0,15354.0,15354.0,,-3557,-85,-1525.0,,3574.0,,,2363.0,-3184.0,2.HK,HK,5850.0,-112067.0,13650,,261732.0,,10791.0,7881.0,8326.0,,0.0,6989,210.0,,,28826.0,40462.0,11001,4111.0,,,512.0,7166.0,-89.0,0.0,40495.0,2272.0,19537.0,,,,,,,,,,1356.0,,,445.0,2510.0,15148.0,13154.0,,,,,,,,,,,
2019-06-30,,,,23243.0,,14816.0,14165.0,6126.0,38546.0,19047.0,10036.0,,,20427.0,,-803.0,7410.0,2956.0,,148113,87424.0,35.45409,222335.0,2526.45057,54066.0,,109864.0,112471.0,222335.0,38546.0,,,2526.451,1.34778,,,-414.0,-782.0,-368.0,952.0,,,,,1320.0,-125.0,,-5431.0,1224,1716,-6678.0,-2395.0,5991.0,5991.0,,-125,24,-1955.0,,-3058.0,,,3036.0,-4598.0,2.HK,HK,5716.0,-109579.0,15520,,257692.0,,13660.0,4307.0,6567.0,,0.0,7393,1106.0,,,31928.0,41663.0,14766,4007.0,,,560.0,483.0,-91.0,6381.0,41224.0,2263.0,25536.0,,,,,,,,,,2614.0,,,2260.0,3202.0,17819.0,12885.0,,,,,,,,,,,
2019-12-31,,,,5474.7,,7180.5,,5291.1,28695.6,47445.6,8803.1,,,12765.3,,1005.3,3029.8,3796.1,,63807.9,58918.7,3.44952,140470.1,17771.32263,38148.1,,66593.6,73876.5,140470.1,28695.6,,1194.9,17771.32263,0.1731,,,-497.0,3131.9,3628.9,4919.0,,,,,1290.1,-55.6,,-3615.6000000000004,732.4999999999999,,-1779.9999999999995,-2573.5,5036.2,5036.2,,-1144.7,-45.800000000000004,1395.7,,636.9,,,1042.1,-2030.9999999999995,3.HK,HK,3949.7,,9352.1,,,,3819.8,7848.9,8197.4,,100.4,,4012.5999999999995,,348.5,20129.4,26167.5,7832.4,1412.3,,-1972.0,138.9,4780.1,,3705.7,20276.2,1624.9,4770.9,,,,,,1735.9,,,,,,,,2363.7,10725.2,,9551.0,,,,,,,,,,
2019-06-30,,,,5474.7,,6347.4,,5670.8,27768.2,43539.8,8086.6,,,11464.2,,1783.8,3083.9,3636.4,,62701.9,57750.2,3.34715,135217.2,17771.32263,37095.9,,65154.0,70063.2,135217.2,27768.2,,145.3,17771.32263,0.21886,,,-553.0,3932.4,4485.4,5484.9,,,,,999.5,-43.0,,-3135.7,744.6,,-3433.9,-2727.3,4876.2,4876.2,,-808.7,-3.8,913.7,,-1288.8,,,408.4,-3538.9,3.HK,HK,3985.2,,9221.5,,,,3461.1,7212.0,7908.6,,106.2,,4404.799999999999,,696.6,19668.3,24777.1,7865.9,1341.2,,-256.0,1192.6,4292.3,,2035.5,20351.9,1860.3,4981.0,,,,,,1478.7,,,,,,,,2415.1,11078.6,,9273.3,,,,,,,,,,
2019-12-31,,,,6610.0,,,,,3321.0,87242.0,,,,156.0,,-8232.0,434.0,1295.0,,19,87114.0,40.05694,93571.0,2134.26165,3324.0,,85492.0,8079.0,93571.0,3321.0,,,2134.26165,1.56494,,,,3340.0,3340.0,3347.0,,,,,7.0,,,0.0,68,-50,-1707.0,2058.0,810.0,616.0,1,,10,-64.0,,1171.0,3347,-3154,2058.0,-1643.0,6.HK,HK,4165,-6.0,3,,25.0,,0.0,3127.0,4876.0,,0.0,0.0,137.0,,1637.0,5015.0,4324.0,137,,,,2620.0,727.0,,-44.0,683.0,,-44.0,,,,,,2.0,,,,,,,112.0,,0.0,,,,,,,,,,,,
2019-06-30,,,,6610.0,,24.0,,,3342.0,85083.0,,,,0.0,,-9157.0,507.0,1686.0,,20,85226.0,38.73892,90901.0,2134.26165,3407.0,,82679.0,8222.0,90901.0,3342.0,,,2134.26165,1.77626,,,,3791.0,3791.0,3827.0,,,,,36.0,,,,50,21,-4271.0,79.0,1039.0,665.0,1,,-8,62.0,,-3161.0,3827,-3454,79.0,-4333.0,6.HK,HK,4284,-5.0,65,,25.0,,0.0,2040.0,3880.0,,0.0,106.0,125.0,,1812.0,4112.0,4349.0,125,,,,2794.0,1033.0,,-368.0,665.0,,-368.0,,,,,,1.0,,,,,,,28.0,,0.0,,,,,,,,,,,,
2019-12-31,,25299.0,,2651.0,,450.0,,2486,27295.0,144035.0,69.0,,,5586.0,,2580.0,762.0,1110.0,,2805,104952.0,49.14211,165184.0,2519.61095,31764.0,,126305.0,38879.0,165184.0,27295.0,,68.0,2519.61095,1.81099,,,-21.0,4961.0,4982.0,5066.0,,,,,84.0,-398,,,,,-657.0,2184.0,2033.0,2033.0,,-657,,,,3560.0,,,2184.0,,1038.HK,HK,248.0,,4469,,,,263.0,,12077.0,,0.0,1452,0.0,,,14748.0,10303.0,263,175.0,,-133.0,3224.0,1842.0,,163.0,3488.0,,205.0,0,,,,,819.0,,,,,,,12077.0,137,1441.0,,2047.0,,-9245.0,,,,,,,,
2019-06-30,,25299.0,,2651.0,,457.0,,2481,28670.0,140915.0,50.0,,,4853.0,,1363.0,828.0,2274.0,,2693,102018.0,47.49662,158842.0,2519.61095,30294.0,,122154.0,36688.0,158842.0,28670.0,,68.0,2519.61095,2.15574,,,-21.0,6341.0,6362.0,6407.0,,,,,45.0,-398,,,,,-4423.0,4719.0,2131.0,2131.0,,-4423,,,,2427.0,,,4719.0,,1038.HK,HK,206.0,,1624,,,,243.0,,8517.0,,0.0,825,0.0,,,10479.0,6683.0,243,126.0,,-79.0,3910.0,2497.0,,55.0,3245.0,,-413.0,-515,,,,,707.0,,,,,,,8517.0,187,1161.0,,2084.0,,-9245.0,,,,,,,,
2019-12-31,,,,52345.0,,6910.0,262,,62400.0,324524.0,4542.0,,,23270.0,,-2218.0,1135.0,869.0,,840,270245.0,66.22371,455245.0,4841.0,92126.0,,320851.0,134394.0,455245.0,62642.0,,479.0,4841.0,1.95807,,,-44.0,9479.0,9523.0,10589.0,,,,,1066.0,,,-2059.0,,325,-2801.0,-4518.0,4431.0,4431.0,,-7738,-136,7358.0,,-3024.0,,,-2459.0,-2421.0,12.HK,HK,2,-662,29484,,1113,,351.0,,12306.0,,0.0,1265,14333.0,6409.0,196,128750.0,59165.0,14684,,,-174,3663.0,6926.0,,-83.0,16055.0,1970,1713.0,0,,,,,,,,,,,,12110.0,100495,7416.0,,8639.0,,,,,,,,,,
