period,accruedExpenses,additionalPaidInCapital,cashDuefromBanks,commonStockTotal,customerLiabilityAcceptances,deferredIncomeTax,goodwillNet,intangiblesNet,longTermDebt,longTermInvestments,minorityInterest_x,netLoans,otherAssetsTotal,otherCurrentliabilitiesTotal,otherEarningAssetsTotal,otherEquityTotal,otherLiabilitiesTotal,otherLongTermAssetsTotal,preferredStockNonRedeemableNet,propertyPlantEquipmentTotalNet,retainedEarnings,tangibleBookValueperShare,totalAssets,totalCommonSharesOutstanding,totalDebt,totalDeposits,totalEquity,totalLiabilities,totalLiabilitiesShareholdersEquity,totalLongTermDebt,totalShortTermBorrowings,unrealizedGainLoss,dilutedAverageShares,dilutedEPS,interestIncomeBank,loanLossProvision,minorityInterest_y,netIncome,netIncomeAfterTaxes,netIncomeBeforeTaxes,netInterestIncAfterLoanLossProv,netInterestIncome,nonInterestExpenseBank,nonInterestIncomeBank,provisionforIncomeTaxes,totalAdjustmentstoNetIncome,totalInterestExpense,capitalExpenditures,cashInterestPaid,cashTaxesPaid,cashfromFinancingActivities,cashfromInvestingActivities,cashfromOperatingActivities,changesinWorkingCapital,depreciationDepletion,financingCashFlowItems,foreignExchangeEffects,issuanceRetirementofDebtNet,issuanceRetirementofStockNet,netChangeinCash,netIncomeStartingLine,nonCashItems,otherInvestingCashFlowItemsTotal,totalCashDividendsPaid,ticker,market,accountsPayable,accumulatedDepreciationTotal,currentPortofLTDebtCapitalLeases,otherBearingLiabilitiesTotal,propertyPlantEquipmentTotalGross,amortization,accountsReceivableTradeNet,cashEquivalents,cashandShortTermInvestments,noteReceivableLongTerm,notesPayableShortTermDebt,otherCurrentAssetsTotal,otherReceivables,payableAccrued,shortTermInvestments,totalCurrentAssets,totalCurrentLiabilities,totalReceivablesNet,depreciationAmortization,gainLossonSaleofAssets,interestExpIncNetOperatingTotal,interestIncExpNetNonOperatingTotal,operatingIncome,otherNonOperatingIncExpNet,otherOperatingExpensesTotal,revenue,sellingGeneralAdminExpensesTotal,totalOperatingExpense,unusualExpenseIncome,deferredPolicyAcquisitionCosts,eSOPDebtGuarantee,insuranceReceivables,policyLiabilities,prepaidExpenses,amortizationofPolicyAcquisitionCosts,lossesBenefitsandAdjustmentsTotal,netInvestmentIncome,otherRevenueTotal,realizedUnrealizedGainsLosses,totalPremiumsEarned,cash,totalInventory,costofRevenueTotal,fuelExpense,grossProfit,researchDevelopment,treasuryStockCommon,equityInAffiliates,totalPreferredSharesOutstanding,deferredTaxes,minorityInterest,redeemablePreferredStockTotal,cashPayments,cashReceipts,totalUtilityPlantNet
2019-12-28,,68.451,,18.842,,0.968,,1.152,,,,,,0.0,,,12.305,4.338,,26.354,-21.316,2.20028,137.475,28.08553,2.045,,62.948,74.527,137.475,0.415,,,28.12,0.9728,,,,27.355,27.355,34.548,,,,,7.193,,,-4.002000000000001,,7.063,-9.298,-4.002000000000001,11.628999999999998,-23.942999999999998,1.968,,0.14700000000000002,-0.8660000000000001,-1.2860000000000003,-1.524000000000001,34.336,-0.9510000000000001,0,-7.145999999999999,FOUR.L,L,,,1.63,,,0.219,52.899,41.136,41.136,,0.0,,0.14000000000000057,59.209,,105.631,60.839,53.039,,,,0.387,34.336,-0.175,421.451,455.787,,421.451,0,,,,,,,,,,,,,11.456,,,,,-3.029,,,,,,,,
2019-06-29,,68.451,,18.842,,1.12,,1.075,,,,,,0.183,,,15.046,5.651,,22.962,-42.182,1.49209,132.132,28.08553,1.285,,42.981,89.151,132.132,0.0,,,28.136,0.54599,,,,15.362,15.362,19.445,,,,,4.083,,,-4.176,,3.255,-15.615,-4.176,35.052,14.322,1.876,,-0.085,-0.821,-1.281,15.176,19.284,-0.651,0,-13.513,FOUR.L,L,,,1.285,,,0.221,48.212,42.66,42.66,,0.0,,0.0,71.517,,102.444,72.985,48.212,,,,0.364,19.284,-0.203,385.773,405.057,,385.773,0,,,,,,,,,,,,,11.572,,,,,-2.13,,,,,,,,
2020-02-29,0.309,1198.703,,4.807,,4.345,443.357,93.555,141.445,0.006,,,,0.552,,1.972,0.681,,0.05,20.184,-832.619,-0.34128,701.326,480.68051,156.791,,372.913,328.413,701.326,154.402,,,443.51854,-0.01298,,,,8.156,8.156,7.269,,,,,-0.887,,,-13.798,1.4849999999999994,4.267,-63.867000000000004,-13.798,3.5690000000000026,-39.388,-19.311,-1.4849999999999994,0.962,-62.900999999999996,0.5189999999999912,-73.134,7.2690000000000055,8.425000000000011,,,TRN.L,L,165.735,,2.389,,,46.574,52.078,92.12,92.12,,0.0,,0.0,,,144.224,168.985,52.078,,,,-2.925,10.194,0.0,,131.743,92.001,92.001,0.0,,,,,,,,,,,,,0.026,29.548,,102.195,,,,0.05,,,,,,
2019-08-31,,1198.391,,480.681,,5.564,443.271,106.425,215.283,0.064,,,,4.43,,0.605,1.551,,,20.992,-1322.586,-0.40069,790.853,480.68051,218.282,,357.091,433.762,790.853,215.283,,,480.68051,-0.09009,,,,-89.094,-89.094,-87.5,,,,,1.594,,,-14.56,9.054,0.931,29.102,-14.56,56.598,35.756,23.644,-12.22,-0.363,-76.223,117.545,70.777,-87.5,84.698,,,TRN.L,L,203.935,,2.999,,,,54.813,165.254,165.254,,0.0,,0.0,,,220.101,211.364,54.813,,,,-9.123,-78.377,0.0,,129.01,106.889,177.333,70.444,,,,,,,,,,,,,0.034,30.054,,98.956,,,,,,,,,,
2019-02-28,,26.283,,0.155,,7.882,443.271,114.77,266.438,0.46,,,,1.093,,2.186,29.16,,310.735,5.462,-102.77,-1.31519,705.661,480.68051,269.253,,236.589,469.072,705.661,266.438,,,480.68051,-0.00864,,,,-3.155,-3.155,-2.546,,,,,0.609,,,-17.098999999999997,4.96,2.806,-5.885,-17.098999999999997,55.81399999999999,23.213,-16.848,-4.959999999999999,-0.611,-0.925,0.0,32.219,-2.5540000000000003,14.700000000000001,0.0,,TRN.L,L,161.684,,2.815,,,37.303,47.196,94.477,94.477,,0.0,,0.0,,,141.698,165.592,47.196,,,,-12.5,10.491,-0.537,,109.628,72.878,72.878,,,,,,,,,,,,,,0.025,26.259,,83.369,,,,,,,,,,
2020-06-30,,716.6,,107.5,,77.4,,1035.6,899.2,27.3,8.4,,,139.4,,29.3,4.4,98.5,,248.4,-79.7,-0.33243,2441.7,1049.23475,1051.9,,686.8,1754.9,2441.7,1001.6,,,888.7,-0.08662,,,1.2,116.8,115.6,141.1,,,,,25.5,,,-46.7,27.4,-1.0,208.1,-36.1,37.0,-250.7,31.6,0.0,3.2,-9.2,217.3,212.2,148.5,69.5,10.6,0.0,WMH.L,L,,,50.3,,,38.1,346.9,671.6,671.6,10.6,0.0,2.8,0.0,473.4,,1021.3,663.1,346.9,9.8,,0.2,-26.0,167.1,,402.2,554.4,,247.10000000000002,-165.1,,,,,,,,,,,,,,140.2,,414.2,,-86.9,,,,,,,,
2019-12-31,,709.9,,90.0,,81.3,367.0,728.9,693.5,24.9,7.3,,,119.7,,2.6,1.6,91.9,,265.0,-402.6,-0.89573,2004.5,874.1434,1059.9,,312.9,1691.6,2004.5,819.2,,,874.2,0.05971,,,0.9,35.1,34.2,25.9,,,,,-8.3,,,-34.3,25.200000000000003,-2.8000000000000003,-49.39999999999999,-32.5,110.19999999999999,-17.700000000000003,30.799999999999997,-0.29999999999999893,-2.3000000000000003,-25.80000000000001,-0.09999999999999998,25.999999999999993,51.0,5.699999999999989,1.8000000000000114,-23.200000000000003,WMH.L,L,,-289.1,240.7,,554.1,40.39999999999999,45.0,459.4,459.4,9.9,0.0,12.5,0.0,421.8,,516.9,782.2,45.0,9.9,,-0.5,-25.1,51.0,,519.0,770.0,,538.3,9.9,,,,,,,,,,,,,,180.7,,589.3,,-87.0,,,,,,,,
2019-07-02,,709.9,,90.0,,70.5,,1101.6,693.1,30.9,12.1,,,109.5,,9.9,17.2,61.5,,281.3,-413.3,-0.90642,1987.2,874.09879,1068.7,,309.3,1677.9,1987.2,820.8,,,871.8,0.05747,,,-0.8,-62.0,-61.2,-63.5,,,,,-2.3,,,-60.3,18.9,5.9,80.1,-229.7,72.4,-41.9,35.8,-9.3,0.1,157.5,-0.4,-77.1,-38.1,81.4,-169.4,-67.7,WMH.L,L,,,247.9,,,35.2,69.4,433.4,433.4,7.4,0.0,1.7,0.0,399.9,,504.5,757.3,69.4,8.3,,-0.4,-25.4,-38.1,,538.7,811.7,,652.5999999999999,106.0,,,,,,,,,,,,,,197.2,,614.5,,-87.2,,,,,,,,
2019-01-01,,689.4,,88.7,,63.8,216.7,469.4,719.7,44.7,,,,42.0,,6.6,,52.4,,149.8,-397.8,-0.4502,1511.7,860.06827,719.7,,298.9,1212.8,1511.7,719.7,,,855.3,0.10195,,,,87.2,87.2,97.7,,,,,10.5,,,-74.19999999999999,17.700000000000003,5.200000000000001,-39.7,-83.69999999999999,87.1,-57.900000000000006,10.2,-3.1,1.9,,0.09999999999999987,-34.400000000000006,114.39999999999998,-6.100000000000023,-9.5,-36.7,WMH.L,L,,-368.1,,,517.9,26.5,61.7,510.5,510.5,4.8,0.0,1.7,0.0,387.3,,573.9,429.3,61.7,1.0,,-3.0,-16.9,114.4,0.2,508.6,818.7,,511.19999999999993,4.6,,,,,,,,,,,,,,193.1,,625.6,,-88.0,,,,,,,,
2020-06-30,23.2,97.2,,3.6,,4.9,394.8,51.3,148.2,80.1,0.8,,,31.4,,,50.5,40.5,,301.1,435.0,0.62701,1578.9,143.06041,502.3,,535.8,1043.1,1578.9,376.8,,,140.9,0.05252,,,-0.1,5.4,5.5,7.7,,,,,2.2,,,-8.4,7.5,13.6,15.0,-19.5,16.1,-46.8,31.8,0.0,14.1,21.5,-6.5,25.7,5.5,21.0,-11.1,0.0,SVS.L,L,,,47.5,,,4.6,434.8,235.6,235.6,36.6,78.0,0.1,4.0,430.0,,674.5,610.1,438.8,36.4,,,-1.5,9.2,,231.7,791.4,514.1,782.2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-12-31,16.2,97.2,,3.6,,2.1,374.2,44.5,148.0,84.0,0.7,,,38.8,,,50.8,32.7,,295.1,401.7,0.58578,1649.5,143.05672,448.5,,502.5,1147.0,1649.5,369.8,,,141.8,0.52471,,,-0.6,65.4,66.0,90.9,,,,,24.9,,,-8.0,13.200000000000001,12.3,-146.6,-10.0,216.4,85.69999999999999,30.3,-0.9999999999999999,-10.4,-139.0,0.3000000000000007,49.4,66.0,28.800000000000004,-2.0,-6.899999999999999,SVS.L,L,,,45.3,,,5.6000000000000005,576.4,209.9,209.9,28.9,33.4,0.2,3.6000000000000227,589.9,,790.1,723.6,580.0,35.9,,,1.4,89.5,,263.8,1083.0,695.2,993.5,-1.4,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-30,18.9,96.8,,3.6,,4.9,385.7,47.0,148.0,83.0,0.5,,,23.4,,,50.6,31.5,,309.7,360.6,0.1979,1542.2,142.99869,580.3,,461.0,1081.2,1542.2,382.3,,,140.0,0.1815,,,-0.1,17.5,17.6,24.7,,,,,7.1,,,-15.5,4.6,13.5,75.8,-18.3,-121.0,-188.1,30.3,-0.9,0.1,126.9,-13.8,-63.4,17.6,14.4,-2.8,-36.4,SVS.L,L,,,45.9,,,4.8,488.7,161.2,161.2,29.4,152.1,0.1,5.900000000000034,402.6,,655.9,642.9,494.6,35.1,,,-1.4,26.1,,240.8,847.0,545.3,820.9,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-31,121.323,143.896,,3.962,,1.104,5.324,167.719,94.02,8.432,-0.429,,,0.0,,,,,,37.767,80.025,0.62781,482.659,78.58775,102.989,,222.381,260.278,482.659,102.989,,,78.608,0.26359,,,0.04,20.72,20.68,27.038,,,,,6.358,,,-4.857000000000001,1.329,6.040000000000001,0.9320000000000004,-4.704,11.794999999999998,-26.283,2.1640000000000006,-2.3979999999999997,,22.945,1.499,8.023,27.038,2.128,0.153,-21.113999999999997,TEP.L,L,,,,,,6.748,57.012,,43.611,25.185,0.0,,0.7060000000000031,35.291,,238.232,156.614,57.718,5.614,,,-1.224,28.262,,-0.711,522.567,55.239,60.141999999999996,,,,,,132.27,,,,,,,43.611,4.633,434.163,,88.404,,-5.502,,,,,,,,
2019-09-30,77.414,142.405,,3.954,,0.844,5.324,170.089,69.712,8.53,-0.389,,,-0.765,,,,,,34.917,79.858,0.5776,410.169,78.43165,76.311,,220.715,189.454,410.169,76.311,,,78.604,0.19326,,,0.111,15.191,15.08,21.074,,,,,5.994,,,-5.462,1.253,11.057,-10.569,-5.233,27.224,-4.077,1.978,-1.253,,11.107,0.677,11.422,21.074,1.652,0.229,-21.1,TEP.L,L,,,,,,6.597,48.089,,35.588,21.939,0.0,,0.0,36.039,,169.37,112.688,48.089,5.614,,,-0.832,21.906,,-0.617,353.207,52.39,57.387,,,,,,80.779,,,,,,,35.588,4.914,273.914,,79.293,,-5.502,,,,,,,,
2019-03-31,111.386,141.732,,3.95,,0.0,5.324,173.655,59.598,8.621,-0.278,,,5.065,,,,,,30.579,85.187,0.59203,433.818,78.35478,61.214,,225.367,208.451,433.818,61.214,,,78.38,0.23784,,,0.172,18.642,18.47,23.699,,,,,5.229,,,-4.514,0.5750000000000001,6.951,-7.604999999999999,-4.449,3.4490000000000016,-29.876999999999995,1.603,-0.5750000000000001,,9.869,2.583,-8.605,23.699,1.6899999999999995,0.06499999999999995,-19.481999999999996,TEP.L,L,,,,,,6.3340000000000005,48.45,,24.166,19.052,0.0,,0.0,31.064,,196.587,147.515,48.45,5.614,,,-0.729,24.428,,-1.132,493.629,49.085,53.56700000000001,,,,,,119.19,,,,,,,24.166,4.781,415.634,,77.995,,-5.502,,,,,,,,
2020-06-30,,851.3,,16.5,,0.5,,1272.6,884.8,0.0,14.6,,,39.6,,-16.8,83.8,70.2,,484.5,-101.9,-0.287,2628.9,1824.01445,1101.6,,749.1,1879.8,2628.9,983.5,,,1203.0,-0.15904,,,-0.5,-200.3,-199.8,-227.4,,,,,-27.6,,,-161.5,31.3,7.0,597.3,-159.9,-179.4,-82.9,24.7,-52.2,-6.5,5.7,643.8,251.5,-199.8,44.8,1.6,,AML.L,L,,,84.2,,,33.8,192.7,,336.7,2.0,33.9,36.2,4.800000000000011,639.7,13.5,799.6,797.4,197.5,,,,-64.1,-159.3,-4.0,,146.0,142.7,156.5,13.8,,,,,,,,,,,,323.2,229.2,148.8,,-2.8,,,,,,,,,,
2019-12-31,,352.3,,2.1,,9.9,,1183.6,839.1,0.2,14.1,,,27.2,,-2.7,65.0,45.7,,432.3,-33.3,-1.21821,2231.1,710.223,1065.3,,318.4,1912.7,2231.1,936.4,,,1030.586,-0.03577,,,-7.8,-62.6,-54.8,-40.8,,,,,14.0,,,-148.0,28.9,5.0,122.30000000000001,-146.2,-1.4000000000000021,-102.8,27.400000000000002,-32.6,6.3,154.89999999999998,0.0,-19.000000000000004,-41.60000000000001,35.699999999999996,1.7999999999999998,,AML.L,L,,,92.6,,,79.9,249.7,,80.1,1.8,36.3,36.7,0.30000000000001137,731.2,8.9,567.5,887.3,250.0,,,,-21.4,-14.3,-5.1,0.0,573.4,164.6,204.20000000000005,39.6,,,,,,,,,,,,71.2,200.7,383.5,,189.9,,,,,,,,,,
2019-06-30,,352.3,,2.1,,0.0,,1154.5,745.6,0.0,11.2,,,18.2,,-18.3,76.5,34.8,,412.0,28.0,-1.11289,2174.7,710.223,970.5,,364.1,1810.6,2174.7,846.6,,,710.214,-0.07015,,,-1.0,-63.8,-62.8,-78.8,,,,,-16.0,,,-162.2,23.1,7.5,121.0,-159.0,20.8,2.3,24.7,-23.5,-0.5,144.5,0.0,-17.7,-62.8,24.1,3.2,,AML.L,L,,,87.2,,,32.5,202.2,,89.5,2.1,36.7,37.4,0.0,734.2,0.0,571.3,876.3,202.2,,,,-36.3,-37.7,-4.8,,407.1,164.1,185.60000000000002,21.5,,,,,,,,,,,,89.5,242.2,259.2,,147.9,,,,,,,,,,
2019-12-31,,83.1,,11,,140.8,1.4,,759.4,1961.0,0,,,11.9,,39.8,4.1,4.7,,43.1,1068.5,2.94799,2305.6,407.39576,891.7,,1202.4,1103.2,2305.6,759.4,,,407.39576,0.16372,,,0.0,68.0,66.7,74.4,,,,,7.7,,,0.5,12.4,6.5,-52.99999999999999,180.60000000000002,27.5,-11.999999999999998,0.4,-2.2,-3.3,-41.19999999999999,,151.79999999999998,85.60000000000001,-46.49999999999999,180.10000000000002,-9.599999999999998,CLI.L,L,,-4.6,132.3,,47.7,,25.3,259.4,259.4,,0.0,10.7,0.0,54.7,,295.4,198.9,25.3,,,-46.2,-11.5,85.6,0.3,7.4,70.7,10.0,-28.8,0,,,,,,,,,,,,,,13.9,,56.8,,,,,,,,,,
2019-06-30,,83.1,,11,,152.6,1.4,,897.8,2036.6,0,,,5.5,,,5.8,4.8,,44.3,1078.2,2.87411,2348.7,407.39576,959.3,,1172.3,1176.4,2348.7,897.8,,,407.39576,0.1701,,,0.8,67.5,68.5,84.6,,,,,16.1,,,-1.0,10.4,6.5,103.6,-116.9,21.4,-14.4,0.6,-1.4,-0.8,124.1,,7.3,97.8,-62.6,-115.9,-19.1,CLI.L,L,,-4.3,61.5,,48.6,,18.9,107.6,107.6,,0.0,135.1,0.0,53.2,,261.6,120.2,18.9,,,-60.2,-15.1,97.8,1.9,6.3,67.6,9.9,-44.0,0,,,,,,,,,,,,,,13.8,,53.8,,,,,,,,,,
2020-06-30,,14.2,,81.8,,39.1,,647.8,382.5,,,,,97.6,,39.6,112.1,124.3,,363.6,703.0,0.70121,2012.5,272.1,534.1,,838.6,1173.9,2012.5,447.2,,,271.5,0.32604,,,,74.0,74.0,93.6,,,,,19.6,,,-20.5,8.8,16.7,-41.7,-42.2,98.8,-64.2,54.6,-8.8,10.2,-33.3,0.4,25.1,102.2,6.2,-21.7,0.0,IMI.L,L,,,26.0,,,,405.7,114.1,117.8,3.9,60.9,3.4,2.400000000000034,391.0,3.7,872.9,575.5,408.1,9.4,,-0.3,-8.7,102.2,0.1,263.0,867.0,,281.79999999999995,9.7,,,,,,,,,,,,,343.6,483.0,,384.0,,,,,,,,,,
2019-12-31,,14.1,,81.8,,27.5,,618.8,357.9,,,,,99.4,,21.3,101.4,70.1,,361.4,592.7,0.3348,1823.6,272.1,526.0,,709.9,1113.7,1823.6,422.7,,,271.4,0.46868,,,,79.3,79.3,96.6,,,,,17.3,,,-37.4,8.299999999999999,18.300000000000004,-125.9,-79.2,201.9,40.699999999999996,55.900000000000006,-8.299999999999999,1.2000000000000002,-78.80000000000001,1.6,-2.0,103.60000000000001,1.7000000000000002,-41.800000000000004,-40.39999999999999,IMI.L,L,,,43.2,,,,389.7,88.2,91.8,2.3,60.1,6.2,2.5,359.4,3.6,771.0,562.1,392.2,11.4,,-1.6,-6.8,103.6,-0.2,265.9,963.0,,311.4,35.7,,,,,,,,,,,,,280.8,548.0,,415.0,,,,,,,,,,
2019-06-30,,13.3,,81.8,,29.3,,599.9,376.3,,,,,77.5,,28.9,106.3,56.6,,372.1,550.0,0.27228,1888.6,272.15116,617.0,,674.0,1214.6,1888.6,440.5,,,271.0,0.3262,,,,76.8,74.0,92.7,,,,,18.7,,,-28.4,11.1,21.9,-102.9,-26.3,112.9,-45.8,54.8,-11.1,-3.2,-16.4,-5.0,-19.5,100.7,3.2,2.1,-70.4,IMI.L,L,,,105.5,,,,427.9,101.1,104.5,2.0,71.0,2.9,2.6000000000000227,384.5,3.4,858.0,638.5,430.5,9.7,,-2.4,-7.7,100.7,-0.3,281.0,910.0,,298.29999999999995,10.0,,,,,,,,,,,,,320.1,511.0,,399.0,,,,,,,,,,
2020-03-31,90.7,,,12.8,,3.2,3.3,19.6,666.3,,-0.8,,,72.6,,,4.6,0.0,,717.9,104.2,0.0897,1095.1,1000.0,799.7,,112.6,982.5,1095.1,773.8,,,1000.0,-0.05766,,,0.2,-61.3,-61.5,-57.5,,,,,4.0,,,-27.1,32.7,38.2,-1.5,-26.6,-45.5,-94.5,36.1,,-1.1,-1.5,,-74.7,-57.5,70.4,0.5,,HTWS.L,L,12.5,-625.7,25.9,,1343.6,,126.7,,146.4,,0.0,,46.39999999999999,,3.5,354.3,201.7,173.1,,,,-69.6,12.1,,,101.8,24.1,24.700000000000003,0.6,,,,,25.4,,,,,,,142.9,9.4,65.0,,36.8,,-4.4,,,,,,,,
2019-12-31,132.3,0.0,,12.8,,3.1,4.2,24.2,665.1,0.0,-0.6,,,76.0,,,5.9,41.0,,740.1,167.5,0.14795,1220.5,996.95373,809.9,,175.9,1044.6,1220.5,769.3,,,978.59979,-0.08639,,,0.284,-107.169,-107.453,-52.313,,,,,55.14,,,-26.658,4.647000000000006,11.405000000000001,163.079,-26.501000000000005,21.043000000000003,2.1680000000000064,36.127999999999986,40.4,0.19899999999999995,-1.2209999999999965,123.9,157.82,-52.313,35.059999999999995,0.15700000000000003,,HTWS.L,L,18.0,-597.2,40.6,,1337.3,,122.7,,221.1,,0.0,,43.8,,4.3,411.0,266.9,166.5,4.157,,,-35.103,-17.21,,,99.774,14.672,51.94699999999999,33.118,,,,,14.1,,,,,,,216.8,9.3,65.037,,34.737,,-4.4,,,,,,,,
2019-09-30,90.888,186.951,,909.154,,6.348,9.153,37.092,663.67,0.0,-0.38,,,79.401,,,16.526,55.346,,742.088,-1004.71,0.04966,1089.684,909.12491,792.916,,91.395,998.289,1089.684,766.753,,,909.12491,0.00377,,,0.232,-6.423,-6.655,-3.779,,,,,2.876,,,-35.185,33.462,0.669,-1.5630000000000024,-35.08,10.447,-32.569,37.284000000000006,,-0.30199999999999994,-1.5630000000000024,,-26.497999999999998,-3.779,9.511000000000003,0.10500000000000043,,HTWS.L,L,12.59,-572.157,26.163,,1314.245,,118.268,,63.267,,0.0,,31.137,,6.473,246.005,209.042,149.405,5.211,,,-3.835,0.056,,,97.345,12.781,33.141000000000005,15.149,,,,,23.884,,,,,,,56.794,9.449,64.148,,33.197,,,,,,,,,,
2019-06-30,88.052,186.951,,909.154,,6.348,9.153,30.957,662.622,0.0,-0.196,,,55.336,,,16.526,31.362,,762.004,-995.471,0.06657,1085.731,909.12491,805.483,,100.634,985.097,1085.731,765.631,,,909.12491,-0.00971,,,0.184,-12.874,-13.058,-9.977,,,,,3.081,,,-20.734,5.802999999999997,0.853,-1.6829999999999998,-30.697000000000003,12.507000000000001,-31.656,38.178,,0.14700000000000002,-1.6829999999999998,,-19.726000000000003,-9.976999999999999,15.962,-9.963000000000001,,HTWS.L,L,13.548,-548.348,39.852,,1310.353,,83.326,,89.765,,0.0,,42.29400000000001,,36.49,252.255,196.788,125.62,5.196,,,-15.739,5.762,,,96.97,12.409,23.831999999999994,6.227,,,,,26.891,,,,,,,53.275,9.979,67.376,,29.594,,,,,,,,,,
2020-01-26,123.102,143.294,,2.094,,38.212,,12.378,843.477,11.572,,,,30.564,,-45.787,57.096,9.706,,2049.025,215.199,2.88907,2177.849,104.678,1448.766,,314.8,1863.049,2177.849,1386.152,,,104.81029,0.41913,,,,26.18,26.18,35.677,,,,,9.497,,,-34.532,15.083,21.48,27.806,-135.778,112.435,-26.054,62.143,-0.321,,52.213,-15.715,4.463,26.18,48.241,-101.246,-8.371,JDW.L,L,165.309,-926.403,62.614,,2975.428,1.925,1.777,47.413,47.413,,0.0,1.911,1.8100000000000003,,,95.168,381.589,3.587,,-3.003,,-29.145,67.825,,852.251,933.021,,865.196,12.945,,,,,18.804,,,,,,,,23.453,,,,,,,,,,,,,
2019-07-28,,143.294,,2.102,,39.416,,23.07,770.076,5.531,,,,15.058,,-35.36,62.257,19.697,,1384.971,206.776,2.79493,1521.839,105.098,779.97,,316.812,1205.027,1521.839,776.683,,,105.37766,0.3825,,,,34.829,34.829,46.794,,,,,11.965,,,-28.235999999999997,16.401,11.122000000000002,1.1240000000000023,-61.96199999999999,66.43400000000001,-49.434,36.95399999999999,-5.806,,23.59,-12.442999999999998,5.596,34.829,40.297999999999995,-33.726000000000006,-4.216999999999999,JDW.L,L,,-896.672,3.287,,2281.643,3.7870000000000004,21.903,42.95,42.95,,0.0,,0.0,308.326,,88.57,326.671,21.903,,-0.999,,-16.263,64.056,,860.741,929.187,,865.131,4.39,,,,,,,,,,,,,23.717,,,,,,,,,,,,,
2019-01-27,99.914,143.294,,2.11,,38.506,,23.313,750.017,7.467,,,,34.736,,-16.26,49.153,23.357,,1356.259,182.951,2.73724,1498.237,105.501,761.319,,312.095,1186.142,1498.237,758.112,,,105.50104,0.37628,,,,37.948,37.948,48.625,,,,,10.677,,,-26.085,17.556,8.539,-45.418,-87.476,107.157,-3.072,36.825,-0.462,,-27.561,-8.96,-25.737,37.948,31.609,-61.391,-8.435,JDW.L,L,202.514,-862.742,3.207,,2219.001,3.847,1.593,37.354,37.354,,0.0,3.383,1.032,,,87.841,340.371,2.625,,-0.016,,-13.195,61.836,,826.135,889.606,,827.77,1.635,,,,,21.71,,,,,,,,22.769,,,,,,,,,,,,,
2020-04-30,,74.2,,12.8,,,29,,346.9,6.2,,,,8.2,,,143.3,5.8,,9.7,721.0,3.03207,1656.3,256.92054,357.0,,808.0,848.3,1656.3,352.5,,,256.8,0.10436,,,,-40.5,-40.5,-51.2,,,,,-10.7,,,-0.2,4.4,8.1,212.4,-3.3,-124.2,-136.3,5.2,0.4,,213.5,-1.5,84.9,-40.5,47.4,-3.1,0.0,CRST.L,L,,,4.5,,,,106.1,255.5,257.1,56.8,0.0,,17.30000000000001,339.8,1.6,1548.8,352.5,123.4,,,,-6.6,-44.6,,,240.0,24.8,80.50000000000003,55.7,,,,,,,,,,,,,1168.3,204.1,,35.9,,,,,,,,,,
2019-10-31,,74.2,,12.8,,0.0,29,,131.5,8.2,,,,8.1,,,167.4,6.4,,6.1,767.4,3.21267,1576.2,256.92054,133.4,,854.4,721.8,1576.2,131.5,,,256.66182,0.12981,,,,30.6,30.6,38.3,,,,,7.7,,,-2.0999999999999996,6.1,13.0,-150.2,-15.4,150.8,105.3,1.4,1.3,,-120.0,-2.8,-14.799999999999999,30.6,13.5,-13.3,-28.700000000000003,CRST.L,L,,,1.9,,,,145.3,170.6,171.6,58.5,0.0,,0.0,412.9,1.0,1468.0,422.9,145.3,,,,-5.5,43.8,,,584.5,36.0,39.400000000000034,3.4,,,,,,,,,,,,,1151.1,501.3,,83.2,,,,,,,,,,
2019-04-30,,74.2,,12.8,,0.0,29,,251.8,7.0,,,,13.9,,,144.2,8.0,,5.4,773.8,3.23758,1617.4,256.92054,253.7,,860.8,756.6,1617.4,251.8,,,257.2,0.20179,,,,51.9,51.9,64.4,,,,,12.5,,,-1.7,5.0,11.2,26.1,0.6,-25.6,-96.8,1.1,0.0,,83.1,-1.0,1.1,51.9,18.2,2.3,-56.0,CRST.L,L,,,1.9,,,,129.0,185.4,187.9,67.2,0.0,,0.0,344.8,2.5,1500.8,360.6,129.0,,,,-6.4,70.8,,,501.9,29.5,29.5,,,,,,,,,,,,,,1183.9,401.6,,100.3,,,,,,,,,,
2020-03-31,,462.0,,5.8,,13.8,,753.2,690.0,13.6,69.5,,,39.1,,,43.4,26.5,,1988.8,-12.6,-0.5582,3434.2,533.85604,2315.0,,455.2,2979.0,3434.2,1858.5,,,448.92255,-0.08197,,,-3.4,-36.1,-32.7,-34.3,,,,,-1.6,,,-122.6,10.4,20.1,160.1,-144.7,137.3,-63.1,200.2,-26.1,-5.2,-21.3,207.5,147.5,-32.7,28.9,-22.1,0.0,SSPG.L,L,,,456.5,,,4.0,179.8,380.8,380.8,47.7,0.0,,9.0,498.2,,604.4,993.8,188.8,204.2,,,-24.5,-6.7,-3.1,158.0,1214.6,500.7,862.9,,,,,,,,,,,,,,34.8,358.4,,856.2,,,,,,,,,,
