,ticker,company,reason_failed
52,SNN.L,"190    SANNE GROUP PLC ORD GBP0.01
Name: company, dtype: object",price
53,PLI.L,"193    PERPETUAL INCOME&GROWTH INV TST PLC ORD 10P
Name: company, dtype: object",price
54,SAIN.L,"194    SCOTTISH AMERICAN INV CO PLC ORD 25P
Name: company, dtype: object",price
55,ULE.L,"195    ULTRA ELECTRONICS HOLDINGS PLC ORD 5P
Name: company, dtype: object",price
56,UKW.L,"207    GREENCOAT UK WIND PLC ORD 1P
Name: company, dtype: object",price
57,PFC.L,"211    PETROFAC LD ORD USD0.02
Name: company, dtype: object",price
58,WG..L,"213    WOOD GROUP (JOHN) PLC ORD 4 2/7P
Name: company, dtype: object",price
59,KNOS.L,"219    KAINOS GROUP PLC ORD 0.5P
Name: company, dtype: object",price
60,GOG.L,"221    GO-AHEAD GROUP PLC ORD 10P
Name: company, dtype: object",price
61,TMPL.L,"222    TEMPLE BAR INV TST PLC ORD 25P
Name: company, dtype: object",price
62,VMUK.L,"229    VIRGIN MONEY UK PLC ORD GBP0.10
Name: company, dtype: object",price
63,BRWM.L,"232    BLACKROCK WORLD MINING TRUST PLC ORD 5P
Name: company, dtype: object",price
64,SRP.L,"237    SERCO GROUP PLC ORD 2P
Name: company, dtype: object",price
65,TCAP.L,"249    TP ICAP PLC ORD 25P
Name: company, dtype: object",price
66,GVC.L,"254    GVC Holdings
Name: company, dtype: object",price
67,MCS.L,"260    Mccarthy & Stone
Name: company, dtype: object",price
68,RTN.L,"269    Restaurant Group
Name: company, dtype: object",price
69,MTRO.L,"278    Metro Bank
Name: company, dtype: object",price
70,WPCT.L,"281    Woodford Patient Capital Trust
Name: company, dtype: object",price
71,JD.L,"284    JD Sport Fashion
Name: company, dtype: object",price
72,KIE.L,"285    Kier Group
Name: company, dtype: object",price
0,SOI.L,"77    SCHRODER ORIENTAL INCOME FUND LD ORD 1P
Name: company, dtype: object",financials
1,CLSN.L,"103    CALISEN PLC ORD GBP0.01
Name: company, dtype: object",financials
2,WPCT.L,"281    Woodford Patient Capital Trust
Name: company, dtype: object",financials
