company_code,short_name,country,isin_code,sector_group,sector,share_currency,reference_currency
7454,Vivant Corp,Philippines,PHY9379Y1020,utilities,electricity distribution and generation,PHP,PHP
7455,Waterfront Phil,Philippines,PHY953131059,consumer,hotels travel gambling and leisure,PHP,PHP
7456,Wellex Inds,Philippines,PHY9534C1028,conglomerates,sector holding companies,PHP,PHP
7457,Xurpas,Philippines,PHY9730B1062,IT,internet and networking services,PHP,PHP
7458,Zeus Hldgs,Philippines,PHY9890F1031,conglomerates,sector holding companies,PHP,PHP
7459,Oriental Penin,Philippines,PHY647691054,primary production,metals and minerals mining and exploration,PHP,PHP
7460,Pacifica,Philippines,PHY6725N1293,conglomerates,sector holding companies,PHP,PHP
7461,Primex Corp,Philippines,PHY708151162,real estate,real estate services,PHP,PHP
7462,Unioil Res,Philippines,PHY9068F1250,services,financial services,PHP,PHP
7463,Vulcan Ind Min,Philippines,PHY9381Q1059,primary production,metals and minerals mining and exploration,PHP,PHP
7464,APC Group,Philippines,PHY0163E1056,services,business services,PHP,PHP
7465,Bogo Medellin,Philippines,PH0972211058,consumer,food manufacturers,PHP,PHP
7466,Cyber Bay,Philippines,PHY185371036,real estate,real estate services,PHP,PHP
7467,Ever Gotesco,Philippines,PHY2362X1082,real estate,retail and malls real estate,PHP,PHP
7468,Redflow Ltd,Australia,AU000000RFX8,electrical electronic,electrical equipment,AUD,AUD
7470,Untitled Dataset 2019-04-04 21:45:05,This dataset has no description.,This dataset has no description.,This dataset has no description.,This dataset has no description.,This dataset has no description.,This dataset has no description.
7471,Jackstones,Philippines,PHY4235K1070,services,financial services,PHP,PHP
7472,Glow Energy,Thailand,TH0834010009,utilities,electricity distribution and generation,THB,THB
7473,Bangkok Expy,Thailand,TH6999010007,transport,roads tolls and traffic management,THB,THB
7474,Energy Absolute,Thailand,TH3545010003,utilities,electricity distribution and generation,THB,THB
7475,Delta Elec Thai,Thailand,TH0528010Z00,electrical electronic,electrical equipment,THB,THB
7476,Digital Telecom Fd,Thailand,TH5097010000,construction,infrastructure construction and services,THB,THB
7477,Jasmine BBIIF,Thailand,TH6247010007,construction,infrastructure construction and services,THB,THB
7478,Group Lease,Thailand,TH0799010Z07,services,financial services,THB,THB
7479,Carabao,Thailand,TH6066010005,consumer,beverage manufacturers,THB,THB
7480,Global Power,Thailand,TH6488010005,utilities,electricity distribution and generation,THB,THB
7481,KCE Electronics,Thailand,TH0122B10Z05,electrical electronic,electronic components,THB,THB
7482,Super Energy,Thailand,TH0833010Z04,utilities,electricity distribution and generation,THB,THB
7483,Bangkok Airways,Thailand,TH4403010002,transport,airlines,THB,THB
7484,TPI Polene,Thailand,TH0212010Z01,industrial,building and construction materials,THB,THB
7485,PTG Energy,Thailand,TH4547010009,industrial,petroleum refiners and distributors,THB,THB
