period,accountsPayable,accountsReceivableTradeNet,accruedExpenses,accumulatedDepreciationTotal,additionalPaidInCapital,cashEquivalents,cashandShortTermInvestments,commonStockTotal,currentPortofLTDebtCapitalLeases,goodwillNet,intangiblesNet,longTermDebt,longTermInvestments,minorityInterest_x,noteReceivableLongTerm,notesPayableShortTermDebt,otherCurrentAssetsTotal,otherCurrentliabilitiesTotal,otherEquityTotal,otherLiabilitiesTotal,otherLongTermAssetsTotal,otherReceivables,prepaidExpenses,propertyPlantEquipmentTotalGross,propertyPlantEquipmentTotalNet,retainedEarnings,shortTermInvestments,tangibleBookValueperShare,totalAssets,totalCommonSharesOutstanding,totalCurrentAssets,totalCurrentLiabilities,totalDebt,totalEquity,totalInventory,totalLiabilities,totalLiabilitiesShareholdersEquity,totalLongTermDebt,totalReceivablesNet,treasuryStockCommon,unrealizedGainLoss,costofRevenueTotal,dilutedAverageShares,dilutedEPS,grossProfit,interestExpIncNetOperatingTotal,interestIncExpNetNonOperatingTotal,minorityInterest_y,netIncome,netIncomeAfterTaxes,netIncomeBeforeTaxes,operatingIncome,otherNonOperatingIncExpNet,otherOperatingExpensesTotal,provisionforIncomeTaxes,researchDevelopment,revenue,sellingGeneralAdminExpensesTotal,totalOperatingExpense,unusualExpenseIncome,amortization,capitalExpenditures,cashInterestPaid,cashTaxesPaid,cashfromFinancingActivities,cashfromInvestingActivities,cashfromOperatingActivities,changesinWorkingCapital,deferredTaxes,depreciationDepletion,financingCashFlowItems,foreignExchangeEffects,issuanceRetirementofDebtNet,issuanceRetirementofStockNet,netChangeinCash,netIncomeStartingLine,nonCashItems,otherInvestingCashFlowItemsTotal,totalCashDividendsPaid,ticker,market,deferredIncomeTax,preferredStockNonRedeemableNet,depreciationAmortization,equityInAffiliates,otherRevenueTotal,totalAdjustmentstoNetIncome,minorityInterest,payableAccrued,gainLossonSaleofAssets,cash,redeemablePreferredStockTotal,deferredPolicyAcquisitionCosts,insuranceReceivables,otherAssetsTotal,policyLiabilities,amortizationofPolicyAcquisitionCosts,lossesBenefitsandAdjustmentsTotal,netInvestmentIncome,realizedUnrealizedGainsLosses,totalPremiumsEarned,eSOPDebtGuarantee,totalPreferredSharesOutstanding,totalUtilityPlantNet,fuelExpense,operationsMaintenance,allowanceforFundsUsedDuringConst,cashDuefromBanks,customerLiabilityAcceptances,netLoans,otherBearingLiabilitiesTotal,otherEarningAssetsTotal,totalDeposits,totalShortTermBorrowings,interestIncomeBank,loanLossProvision,netInterestIncAfterLoanLossProv,netInterestIncome,nonInterestExpenseBank,nonInterestIncomeBank,totalInterestExpense,cashPayments,cashReceipts,uSGAAPAdjustment
2019-11-02,1473.1,,1202.6,-4056.6,,433.7,433.7,,750,2296.5,3100,3520.2,,,,0.0,255.7,754.0,6121.3,4919.4,98.0,,,7867.3,9675.3,,,3.0621,19742.1,236.7,4572.3,4179.7,4270.2,6121.3,3882.9,13620.8,19742.1,3520.2,,,,4041.7,237.5,1.07705,1704.5,,-41.4,,255.8,255.8,316.9,358.4,-0.1,,61.1,,5746.2,1346.1,1346.1000000000004,,,-280.00000000000006,5.5,28.80000000000001,-58.0,-280.00000000000006,170.5,-303.5,41.3,160.0,-0.40000000000000213,-0.5,0,-57.599999999999994,-168.0,255.8,16.89999999999999,0.0,,DLTR,US,1001.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-08-03,1455.4,,1215.0,-3928.0,,623.4,623.4,,750,2296.3,3100,3518.6,,,,0.0,246.5,673.6,5865.7,5055.3,76.2,,,7594.2,9680.5,,,1.98226,19493.8,236.8,4340.8,4094.0,4268.6,5865.7,3470.9,13628.1,19493.8,3518.6,,,,4092.1,238.3,0.75661,1648.5,,-40.1,,180.3,180.3,228.4,268.9,-0.4,,48.1,,5740.6,1379.6,1379.6,,,-296.0,77.9,213.7,-36.5,-296.29999999999995,229.89999999999998,-141.2,6.0,155.10000000000002,-0.5999999999999979,0.7,0,-35.89999999999999,-102.20000000000002,180.3,29.700000000000003,-0.3000000000000007,,DLTR,US,960.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-04,1186.5,,1215.9,-3822.7,,725.8,725.8,,750,2295.9,3100,3516.9,,,,0.0,194.8,826.9,5755.9,5148.0,76.3,,,7347.7,9636.0,,,1.51515,19354.3,237.6,4246.1,3979.3,4266.9,5755.9,3325.5,13598.4,19354.3,3516.9,,,,4081.5,239.1,1.12045,1727.2,,-41.4,,267.9,267.9,343.9,385.5,-0.2,,76.0,,5808.7,1341.7,1341.6999999999998,,,-209.2,6.3,6.4,-117.5,-192.4,614.1,157.0,3.0,151.2,-23.3,-0.4,0,-94.2,303.8,267.9,35.0,16.8,,DLTR,US,954.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-31,842,2177,1089.0,,,1192,1192.0,23902,2919,8946,,34504,7575,2026,,2190.0,1242,3408,-2055,20153,13673,248.0,,,,6455,,23.142,104126.0,838.0,6536.0,10448.0,39724.0,30726.0,1677,73400.0,104126.0,34615.0,2425,,37,2,838.2,0.28818,,79.0,-490,-31,-270.0,-239.0,-258.0,631.0,-399,284,-19,,4160,,3863.0,787.0,,-1462,,,1006.0,-1641.0,1633.0,-120.0,-65,759,-81,,1797,78,998.0,-239,1298,-179.0,-788,D,US,6158,2387,673,,336.0,,,,,,,,,,,,,,,,,,67396,1016.0,1024.0,,,,,,,,,,,,,,,,,,
2019-12-31,1115,2278,1382.0,,,166,166.0,23824,3162,8946,791.0,33719,8217,2039,,911.0,1207,3369,-1830,19750,10699,367.0,328.0,,,7576,,23.71122,103823.0,838.0,6088.0,9939.0,37897.0,31994.0,1742,71829.0,103823.0,33824.0,2645,,37,14,826.6,1.39311,,38.0,-419,-1,1009.0,1010.0,1153.0,1239.0,333,221,143,,4118,35.0,3222.0,173.0,,-1573,,,-204.0,-1462.0,1495.0,-140.0,104,742,2005,,-2954,1504,-171.0,1010,-221,111.0,-759,D,US,6277,2387,664,,357.0,-9.0,,,,,,,,,,,,,,,,,69082,1043.0,1048.0,,,,,,,,,,,,,,,,,,
2019-09-30,791,1972,1321.0,,,378,378.0,22131,4824,8986,773.0,33503,7757,671,,2420.0,1418,2835,-1811,20378,10141,363.0,338.0,455.0,455.0,7336,,21.78736,102359.0,823.0,6269.0,12191.0,40879.0,29286.0,1800,73073.0,102359.0,33635.0,2335,,34,11,813.0,1.32397,,16.0,-451,-10,975.0,985.0,1036.0,1314.0,173,243,51,,3931,28.0,2944.0,114.0,,-1295,,,-189.0,-1327.0,1396.0,-205.0,5,763,-67,,-844,1477,-120.0,985,-152,-32.0,-755,D,US,6198,1596,679,,338.0,-7.0,,,,,,,,,,,,,,,,,67978,911.0,953.0,,,,,,,,,,,,,,,,,,
2019-06-30,787,1908,1182.0,,,382,382.0,20660,2364,8985,878.0,36576,7596,684,,2547.0,1525,2623,-1713,20105,10027,188.0,,468.0,468.0,7124,,20.22167,100822.0,803.0,5727.0,9503.0,41559.0,27697.0,1724,73125.0,100822.0,36648.0,2096,,30,24,802.6,0.60748,,14.0,-452,-4,54.0,58.0,101.0,461.0,92,284,43,,3563,27.0,3485.0,755.0,,-1110,,,72.0,-1281.0,1142.0,-121.0,1,738,-24,,-828,1660,-67.0,58,466,-171.0,-736,D,US,6185,1596,661,,407.0,,,,,,,,,,,,,,,,,,67141,931.0,813.0,,,,,,,,,,,,,,,,,,
2020-06-14,102.896,255.514,150.275,-267.49,32.251,332.152,332.152,0.393,42.999,15.061,77.289,4092.367,,,,0.0,238.22,163.698,-4.535,276.15,77.731,0.0,34.373,751.988,484.498,-3311.015,,-85.78133,1581.688,39.34721,927.109,459.868,4171.575,-3282.906,66.85,4864.594,1581.688,4128.576,255.514,,,562.932,39.74648,2.99133,357.091,,-39.087,,118.668,118.668,124.496,163.583,,,5.828,,920.023,193.508,193.50800000000004,,,-16.265,,,31.13600000000001,-56.318,116.47,-1.411999999999999,0.808,14.757000000000001,-0.18300000000000005,0.708,46.809,14.695999999999998,91.996,118.668,-16.351000000000003,-40.053,-30.186,DPZ,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-22,94.502,238.699,153.007,-259.131,12.474,289.001,289.001,0.39,43.39,15.061,74.203,4043.582,,,,0.0,189.339,161.27,-6.068,268.699,36.581,0.0,28.325,728.788,469.657,-3398.986,,-89.1775,1389.876,39.0396,794.374,452.169,4104.588,-3392.19,49.01,4782.066,1389.876,4061.198,238.699,,,532.945,39.6334,3.07319,340.157,,-38.538,,121.602,121.602,117.296,155.834,,,-4.306,,873.102,184.323,184.32299999999998,,,-17.467,,,-82.058,-17.893,95.358,-18.629,0.702,14.032,-1.644,-0.961,-10.849,-69.485,-5.554,121.602,-22.349,-0.426,-0.08,DPZ,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-12-29,111.101,210.26,173.68,-252.448,0.243,190.615,190.615,0.389,43.394,15.093,73.14,4052.792,11.982,,,0.0,314.658,125.656,-3.742,272.965,22.594,0.0,19.129,724.114,471.666,-3412.649,,-89.99823,1382.092,38.93401,787.617,453.831,4114.449,-3415.759,52.955,4797.851,1382.092,4071.055,210.26,,,703.064,41.21691,3.12557,447.288,,-46.681,,129.327,129.327,157.27,203.951,,,27.943,,1150.352,243.337,243.337,,,-42.888999999999996,,,23.513000000000005,-24.717,172.35399999999998,27.309,-4.924,18.948,-8.229,0.062,674.775,-590.9159999999999,171.212,129.327,1.694,18.171999999999997,-52.117000000000004,DPZ,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-08,95.657,185.403,135.365,-254.669,0.075,66.706,66.706,0.409,35.935,13.542,71.055,3391.179,,,,0.0,286.782,154.288,-3.938,267.575,26.631,0.0,15.438,698.374,443.705,-2932.195,,-72.60877,1160.272,41.59616,605.339,421.245,3443.036,-2935.649,51.01,4095.921,1160.272,3407.101,185.403,,,504.561,42.04029,2.06034,316.251,,-32.784,,86.373,86.373,110.245,143.029,,,23.872,,820.812,173.222,173.22200000000004,,,-16.968000000000004,,,-132.00900000000001,-0.6099999999999999,123.043,19.105,-0.6489999999999998,13.131999999999998,-3.253,0.02800000000000001,-8.974000000000004,-92.864,-9.547999999999988,86.37300000000002,5.082000000000001,16.358,-26.918,DPZ,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-16,82.456,182.904,131.682,-249.184,10.788,108.259,108.259,0.412,35.919,13.542,69.629,3398.901,,,,0.0,270.425,162.849,-4.208,253.559,25.21,0.0,37.578,674.523,425.339,-2911.278,,-72.45418,1177.167,41.23236,643.447,412.906,3450.907,-2904.286,44.281,4081.453,1177.167,3414.988,182.904,,,494.976,42.23651,2.24201,316.671,,-32.944,,92.359,92.359,105.979,138.923,,,13.62,,811.647,177.748,177.74800000000005,,,-13.485999999999999,,,-59.16400000000001,9.433,104.55499999999999,-1.1039999999999992,0.8089999999999997,14.060000000000002,-0.10000000000000009,-0.012999999999999998,-33.91799999999999,1.4440000000000004,54.81099999999999,92.35899999999998,-1.5690000000000004,22.919,-26.59,DPZ,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-30,912.588,1159.006,582.255,-1428.491,869.526,649.032,649.032,258.768,,3919.851,1084.834,3000.87,,,,505.0,,113.918,-263.629,590.579,451.729,0.0,105.435,2286.765,858.274,8368.62,,-13.30246,9114.133,143.97016,2799.445,2113.761,3505.87,3089.527,885.972,6024.606,9114.133,3000.87,1159.006,-6143.758,,940.02,144.995,0.93217,559.155,,-27.983,,124.766,124.766,156.829,184.077,0.735,,32.063,,1499.175,362.013,375.078,13.065,,-38.99900000000001,,,-67.458,-67.763,271.809,65.354,,67.603,-1.786999999999999,3.536999999999999,5.0,0.0,140.125,124.76600000000002,14.086,-28.76400000000001,-70.67099999999999,DOV,US,319.396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-31,947.006,1235.995,566.573,-1397.457,862.747,508.907,508.907,258.745,,3860.817,1096.14,2963.018,,,,500.0,1.826,80.782,-311.578,567.607,439.483,0.0,107.197,2239.27,841.813,8314.525,,-13.72919,8944.253,143.94701,2706.0,2094.361,3463.018,2980.681,852.075,5963.572,8944.253,2963.018,1235.995,-6143.758,,1042.154,145.782,1.21367,613.785,,-26.085,,176.279,176.279,213.5,231.853,7.732,,37.221,,1655.939,381.142,381.932,0.79,,-40.172,,,280.954,-230.511,75.863,-148.511,,68.752,-10.531,-14.652,415.3,-52.916,111.654,176.279,-20.657,-190.339,-70.899,DOV,US,338.586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-12-31,983.293,1232.084,617.879,-1389.811,869.719,397.253,397.253,258.552,1.794,3783.347,1055.014,2985.716,,,,84.7,2.892,62.225,-216.026,571.096,285.349,0.0,110.06,2387.148,997.337,8211.257,,-12.51332,8669.477,144.30232,2548.43,1749.891,3080.288,3032.66,806.141,5636.817,8669.477,2993.794,1232.084,-6090.842,,1119.799,146.809,1.36811,655.79,,-29.418,,168.122,168.122,197.022,224.549,1.891,,28.9,,1775.589,392.886,431.241,38.355,,-49.52799999999999,,,-255.61200000000002,-48.19799999999998,361.2080000000001,113.51100000000001,-11.966,69.99299999999997,-8.843999999999998,-0.677,-55.64300000000001,-120.0,56.721000000000004,168.122,21.548000000000002,1.3300000000000125,-71.125,DOV,US,322.036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-30,952.708,1283.074,623.01,-1376.782,872.989,340.532,340.532,258.426,1.601,3760.428,1080.13,2908.729,,,,182.7,2.052,65.283,-257.19,575.802,270.514,0.0,143.771,2349.019,972.237,8114.26,,-12.54877,8669.301,145.26639,2585.992,1825.302,3100.969,3017.643,816.563,5651.658,8669.301,2916.668,1283.074,-5970.842,,1149.784,147.051,1.41903,675.561,,-30.147,,206.006,206.006,257.93,282.713,5.364,,51.924,,1825.345,389.512,392.84799999999996,3.336,,-46.18400000000001,,,-277.901,-48.61200000000002,350.86499999999995,70.93,,66.787,-8.279,-5.146,-175.0,-23.28,19.205999999999996,206.00599999999997,7.141999999999996,-2.4279999999999973,-71.34200000000001,DOV,US,333.886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-30,960.432,1303.219,575.177,-1364.602,873.034,321.326,321.326,258.315,1.555,3795.588,1129.352,2946.493,,,,357.7,1.148,60.251,-208.113,573.808,261.023,0.0,148.292,2331.438,966.836,7979.597,,-13.54304,8776.05,145.43777,2623.251,1955.115,3314.122,2955.271,849.266,5820.779,8776.05,2954.867,1303.219,-5947.562,,1136.93,147.179,1.3768,673.776,,-30.809,,198.085,198.085,249.739,275.959,4.589,,51.654,,1810.706,392.079,397.817,5.738,,-53.97,,,-60.596000000000004,-69.755,208.709,-57.84400000000002,,67.769,-2.1320000000000014,-0.04599999999999982,11.456999999999994,0.0,78.312,198.08500000000004,0.6989999999999981,-15.784999999999997,-69.92099999999999,DOV,US,336.989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-30,3296,4359,2708.0,-34841,7431,3724,3726.0,8,451,8801,3532,15923,3482,560,725,853.0,600,2478,-10265,19784,3240,2528.0,,57340,22499.0,16017,2,0.27526,59276.0,741.12145,16997.0,9786.0,17592.0,12537.0,5784,46739.0,59276.0,16288.0,6887,-625,40,7604,739.3,-0.25862,750,,-284,-8,-225.0,-217.0,-183.0,59.0,42,,34,182,8354,357,691.0,52,,-275,,,-1144.0,-381.0,1590.0,774.0,-2,700,-24,20,-618,14,85.0,-217,335,-106.0,-516,DOW,US,321,,100,,,,,,,,,,,,,,,,,,-69,,,,,,,,,,,,,,,,,,,,,,
2020-03-31,3769,4863,2820.0,-34136,7370,3633,3634.0,8,384,8780,3636,15944,3371,555,714,1490.0,547,2658,-10493,19439,3299,2770.0,,56884,22748.0,16763,1,0.66151,60686.0,740.73081,18138.0,11121.0,18187.0,12906.0,6324,47780.0,60686.0,16313.0,7633,-625,-36,8234,742.0,0.46347,1536,,-290,-19,239.0,258.0,396.0,762.0,-76,,138,179,9770,334,774.0,161,,-395,,,265.0,-153.0,1239.0,-43.0,-57,724,-120,-86,1012,-109,1265.0,258,357,242.0,-518,DOW,US,352,,100,,,,,,,,,,,,,,,,,,-81,,,,,,,,,,,,,,,,,,,,,,
2019-12-31,3889,4885,2870.0,-33914,7325,2367,2388.0,8,435,8796,3759,15612,3992,553,1067,586.0,617,2899,-10310,19429,3027,2711.0,,54910,23068.0,17045,21,1.32974,60524.0,741.49881,16815.0,10679.0,16996.0,13541.0,6214,46983.0,60524.0,15975.0,7596,-500,64,8718,745.51229,-0.54392,1486,,-220,-13,-2323.0,-2310.0,-2196.0,-2068.0,92,,114,173,10204,332,3554.0,2950,,-577,,,-1839.0,-597.0,1950.0,551.0,-82,713,-291,27,-991,-40,-459.0,-2310,3078,-20.0,-517,DOW,US,347,,99,,,,,,,,,,,,,,,,,,-91,,,,,,,,,,,,,,,,,,,,,,
2019-09-30,3855,5203,3614.0,-33887,7239,2823,2834.0,7,378,9785,3859,16826,5744,587,884,517.0,813,2837,-9279,18157,2583,3683.0,,57020,23133.0,19873,11,5.06409,64937.0,741.49591,18949.0,11201.0,18108.0,17399.0,6416,47538.0,64937.0,17213.0,8886,-406,60,9377,741.49591,0.78213,1387,,-258,-14,333.0,347.0,437.0,394.0,301,,90,194,10764,388,993.0,311,,-472,,,-589.0,-715.0,1724.0,596.0,-83,739,-50,-64,73,-96,356.0,347,125,-243.0,-516,DOW,US,380,,100,,,,,,,,,,,,,,,,,,-95,,,,,,,,,,,,,,,,,,,,,,
2019-06-30,4188,5695,3683.0,-33687,7186,2446,2466.0,7,297,9848,4000,16791,5526,589,787,544.0,727,2893,-9037,17129,2658,2908.0,,57120,23433.0,20110,20,5.46681,64889.0,743.21201,18637.0,11605.0,17996.0,17911.0,6841,46978.0,64889.0,17155.0,8603,-305,49,9420,743.21201,0.33353,1594,,-231,-15,75.0,90.0,215.0,447.0,-1,,125,208,11014,422,1147.0,413,,-479,,,-1034.0,-382.0,972.0,-72.0,9,743,1734,-20,-1952,-299,-464.0,90,202,97.0,-517,DOW,US,500,,104,,,,,,,,,,,,,,,,,,-99,,,,,,,,,,,,,,,,,,,,,,
2020-06-30,1025,1375,191.0,-9960,,579,579.0,5247,670,2465,2380,17332,3757,168,228,914.0,387,1396,-141,7660,4527,371.0,,36684,26885.0,6618,,35.7071,43739.0,192.65074,3497.0,4196.0,18925.0,11724.0,785,32015.0,43739.0,17341.0,1746,,,,193.0,1.71893,,43,-121,0,277.0,277.0,283.0,367.0,30,84,6,,,,2216.0,55,,-835,,,168.0,-843.0,620.0,-98.0,73,350,-13,,376,,-55.0,277,18,-8.0,-195,DTE,US,2650,,350,,2583,,,,,,,,,,,,,,,,,,,1120.0,564.0,7.0,,,,,,,,,,,,,,,,,
2020-03-31,1028,1482,201.0,-9910,,552,552.0,5235,387,2466,2402,17016,3592,166,217,1131.0,525,1225,-145,7693,4629,260.0,,36146,26400.0,6732,,36.10369,43232.0,192.61188,3526.0,3972.0,18544.0,11822.0,707,31410.0,43232.0,17026.0,1742,,,,192.0,1.72007,,36,-136,-2,340.0,342.0,391.0,546.0,-25,119,49,,,,2476.0,-10,,-1188,,,864.0,-1342.0,1061.0,181.0,213,353,-36,,1095,,583.0,342,-28,-154.0,-195,DTE,US,2553,,353,,3022,-1.0,,,,,,,,,,,,,,,,,,1399.0,579.0,6.0,,,,,,,,,,,,,,,,,
2019-12-31,1076,1642,180.0,-9755,,93,93.0,5233,691,2464,2393,15924,3829,164,202,828.0,347,1222,-148,7799,4422,245.0,,35072,25486.0,6587,,35.45628,41882.0,192.20853,3086.0,3997.0,17454.0,11672.0,759,30210.0,41882.0,15935.0,1887,,,,191.0,1.40261,,12,-123,-1,267.0,268.0,298.0,415.0,0,103,30,,,,2733.0,1,,-838,,,2443.0,-3174.0,748.0,121.0,44,340,-27,,356,2288.0,17.0,268,-25,-2336.0,-174,DTE,US,2315,,340,,3148,0.0,,,,,,,,,,,,,,,,,,1597.0,680.0,6.0,,,,,,,,,,,,,,,,,
2019-09-30,1033,1453,187.0,-9715,,76,76.0,4370,1209,2293,940,13854,3705,164,193,724.0,233,712,-146,7461,4326,264.0,153.0,33473,23903.0,6516,,40.93317,38345.0,183.39651,2985.0,3865.0,15791.0,10740.0,806,27605.0,38345.0,13858.0,1717,,,,184.0,1.73299,,-47,-121,2,319.0,317.0,364.0,450.0,30,101,47,,,,2669.0,1,,-763,,,524.0,-1044.0,534.0,-287.0,205,322,-19,,716,0.0,14.0,317,-23,-281.0,-173,DTE,US,2257,,322,,3119,-1.0,,,,,,,,,,,,,,,,,,1704.0,588.0,5.0,,,,,,,,,,,,,,,,,
2019-06-30,1051,1436,175.0,-10537,,62,62.0,4344,1501,2293,837,13564,3612,173,168,3.0,370,924,-146,6996,4776,93.0,,32834,22439.0,6198,,39.63956,36851.0,183.30173,2726.0,3654.0,15073.0,10396.0,765,26455.0,36851.0,13569.0,1529,,,,184.0,1.05236,,-30,-124,3,182.0,179.0,200.0,300.0,18,92,21,,,,2588.0,13,,-728,,,152.0,-766.0,615.0,98.0,31,305,-316,,641,0.0,1.0,179,2,-38.0,-173,DTE,US,2063,,305,,2888,0.0,,,,,,,,,,,,,,,,,,1648.0,560.0,6.0,,,,,,,,,,,,,,,,,
2020-03-31,2364,2637,1064.0,-46599,40930,1450,1453.0,1,5077,19303,,56311,2091,1162,,3033.0,2767,3632,-112,30528,23756,0.0,,149676,104710.0,4221,3.0,34.90612,160072.0,735.0,10181.0,15170.0,64421.0,46921.0,3324,113151.0,160072.0,56311.0,2637,,-81,1646,736.0,1.225,,,-507,48,938.0,890.0,1027.0,1488.0,46,343,137,,5949,,2815.0,3,,-2832,,,2593.0,-3022.0,1554.0,-831.0,422,1301,29,,3231,40,1125.0,890,-228,-190.0,-707,DUK,US,9980,,1130,,,-39,,,,,1962,,,,,,,,,,,40,31,,1339.0,,,,,,,,,,,,,,,,,,
2019-12-31,3487,3060,1165.0,-45773,40881,311,329.0,1,3141,19303,,54135,1937,1129,,3135.0,2542,3824,-48,31648,24650,0.0,,147654,103539.0,4108,18.0,34.8663,158838.0,733.0,9163.0,14752.0,61261.0,46822.0,3232,112016.0,158838.0,54985.0,3060,,-82,1774,732.0,0.9254,,,-522,67,674.0,614.0,709.0,1109.0,122,295,95,,6103,,3220.0,12,,-3038,,,743.0,-3324.0,2572.0,184.0,70,1345,219,,860,342,-9.0,607,366,-286.0,-678,DUK,US,9502,,1184,,,-14,,,,,1962,,,,,,,,,,,40,246,,1729.0,,,,,,,,,,,,,,,,,,
2019-09-30,2946,3077,1483.0,-45149,40488,379,407.0,1,3096,19303,,53945,1864,969,,2469.0,3028,3396,-62,30947,24516,0.0,,143794,100348.0,4139,28.0,34.52949,155917.0,729.0,9619.0,13390.0,60383.0,46438.0,3107,109479.0,155917.0,54818.0,3077,,-91,2026,729.0,1.79628,,,-522,19,1342.0,1323.0,1511.0,1929.0,104,335,188,,6940,,2985.0,-20,,-2619,,,365.0,-2845.0,2581.0,113.0,209,1348,455,,-416,1004,101.0,1323,-412,-226.0,-678,DUK,US,9355,,1186,,,-15,,,,,1963,,,,,,,,,,,40,267,,1484.0,,,,,,,,,,,,,,,,,,
2019-06-30,2512,2799,1298.0,-44482,40885,336,336.0,1,2698,19303,,53435,1715,119,,3793.0,3185,3146,-152,31227,23989,0.0,,141363,98616.0,3502,,34.25412,153449.0,728.0,9509.0,13447.0,60833.0,45213.0,3189,108236.0,153449.0,54342.0,2799,,4,1717,728.0,1.12753,,,-498,84,832.0,748.0,889.0,1298.0,89,334,141,,5873,,2858.0,1,,-2929,,,1189.0,-3075.0,1817.0,-367.0,430,1245,176,,1663,13,-69.0,748,-239,-146.0,-663,DUK,US,9101,,1089,,,-12,,,,,973,,,,,,,,,,,40,317,,1434.0,,,,,,,,,,,,,,,,,,
2020-06-30,111.844,155.12,138.454,-1590.546,5607.897,29.87,29.87,3.704,,,,3075.186,133.795,69.596,,0.0,,45.931,-33.346,138.178,343.441,53.769000000000005,,9228.271,7678.525,-590.435,,13.46727,8567.009,370.366,,,3075.186,4987.82,,3579.189,8567.009,3075.186,208.889,,,68.76,372.573,0.12011,169.751,-2.396,-22.625,-0.4,39.82,40.197,40.047,62.672,,15.91,-0.15,,238.511,13.606,107.079,7.619,,-8.835999999999999,,,-103.137,-175.35799999999998,146.608,18.198,,72.34,-3.186,,-84.595,71.213,-131.887,40.22,15.850000000000001,-166.522,-86.569,DRE,US,,,72.34,,,-0.356,,,,,,,,172.489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-31,89.635,149.334,96.544,-1538.679,5533.806,187.563,187.563,3.684,,,,3146.611,132.567,67.219,,0.0,,43.074,-34.235,171.358,318.791,30.626000000000005,,9068.095,7529.416,-543.412,,13.46393,8574.284,368.38,,,3146.611,4959.843,,3614.441,8574.284,3146.611,179.96,,,64.663,371.87,0.07679,161.706,-2.539,-22.099,-0.204,19.456,19.612,19.552,41.651,,14.889,-0.06,,226.369,21.763,120.05499999999999,14.36,,-87.023,,,113.183,-158.681,114.55,-6.738,,71.582,-22.96,,217.24,5.465,69.052,19.66,30.046,-71.658,-86.562,DRE,US,,,71.582,,,-0.356,,,,,,,,225.987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-12-31,68.84,259.693,130.123,-1480.461,5525.463,110.891,110.891,3.68,,,,2914.765,133.074,62.145,,0.0,,48.907,-35.036,177.667,349.447,25.607000000000028,,8798.84,7358.879,-475.992,,13.63804,8420.562,367.95,,,2914.765,5018.115,,3402.447,8420.562,2914.765,285.3,,,68.952,373.327,0.1685,161.523,-18.812,-18.946,-0.72,86.802,87.443,89.664,108.61,,14.945,2.221,,230.475,11.766,52.913,-25.147,,-228.24700000000007,0.1118,,80.334,-311.246,101.81100000000004,-18.394,,70.16100000000003,-26.701,,143.325,50.08900000000003,-129.101,87.52199999999999,-37.47800000000001,-82.999,-86.37899999999999,DRE,US,,,70.161,,,-0.362,,,,,,,,182.971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-30,70.31,271.688,159.364,-1427.18,5472.51,121.233,121.233,3.663,,,,2767.582,110.815,63.339,,0.0,,44.167,-42.104,200.259,468.617,24.186000000000035,,8468.834,7080.454,-476.136,,13.53536,8262.954,366.295,,,2767.582,4957.933,,3305.021,8262.954,2767.582,295.874,,,75.66,367.271,0.30778,165.669,-3.736,-20.519,-1.965,226.566,228.419,227.883,248.402,,14.415,-0.536,,241.329,13.72,-82.733,-177.515,,-61.105999999999995,,,-0.625,87.83500000000001,146.29500000000002,16.849,,70.38300000000001,-32.53,,-70.86599999999999,180.54399999999998,233.505,228.531,-169.468,148.941,-77.773,DRE,US,,,70.383,,,-0.35,,,,,,,,185.961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
