ticker,return_on_equity,cash_flow_to_assets,debt_to_earnings,asset_leverage
HILS.L,0.31076634311351986,0.3675955079337727,0.1286416980330027,0.3129337388490145
HSX.L,-0.05917852934934091,-0.6528493451701881,0.00809214956930442,-0.8341498729253277
ASL.L,-4.666290475721704,-0.700663604433015,0.059548324214482015,-1.1245014008979375
PHP.L,0.28996524337228174,-0.35803238677969534,0.2594859035968399,1.2402585886351638
MDC.L,-0.7984984875222912,-0.04870836811341338,0.017106280065702764,0.6862924106308479
HAS.L,0.4876616417105254,-0.20394218491639554,0.08050724475384063,-0.22927366027206478
SAFE.L,0.7342027534551973,-0.3673598286809108,0.0921672962291092,0.395268331205866
QLT.L,0.06047145411896691,-1.1824250397877403,0.35724636710666313,-1.2260381286646154
AGT.L,-2.661451575308413,-0.8093510816030216,0.0569390876829595,-0.5911114111950909
MKS.L,-0.0857203091738055,0.3111549614195638,-0.2413510270778785,0.8338671097542006
HMSO.L,-2.390028081059748,-0.8919829688483303,0.042192055556599974,1.0380529534492975
SIG.L,2.214879255070417,-0.02789381431443278,-0.3634835172537044,1.2344720598375705
OXIG.L,0.4467050925638451,0.9875467441364256,0.07074074323495189,-0.8311827558009536
DPLM.L,0.6045179588640773,0.19386785022503708,0.07334010152080474,-0.42054244428276255
SXS.L,-0.2851307135817108,0.04429117084266548,0.035878506612679675,-0.6032230668663097
WKP.L,-0.07000252801692373,-0.5013285759001751,-0.0930520761185449,-0.03732326393271351
EWI.L,1.1867556412216387,-0.8419897241558825,0.06331663652037921,-0.8911076620599181
POG.L,0.12486870700510061,0.1581463894794519,0.16683531889182304,0.4553291189849159
RAT.L,0.24746660382330926,1.5965544053864222,0.7773262522071804,2.8180214938349284
CNE.L,0.16483417665824082,1.2750253431241605,0.08293786499837638,-0.564701490034076
BEZ.L,0.02737627320442629,-0.5356224353006244,-0.21513627401386043,-0.9383131513340169
UKCM.L,-0.10413215545807533,-0.5323470334718846,-0.016156588616687433,-0.3782569665720945
BCPT.L,-0.13803243790489192,-0.5466225663428158,-0.029127904320039456,-0.11298476107524534
PZC.L,0.3957283002731695,-0.5762511555940177,0.09348713012692401,-0.175861730282578
SPT.L,0.5200550289900269,1.5102161996504282,0.06480703569966023,-1.0049469158547293
IHP.L,0.05096283444693675,-0.7533195153399682,0.07459342385130825,-1.250408043587797
PFG.L,0.6481095283134314,-0.322795818905391,0.1989678894559431,2.2989116633206668
KAZ.L,1.0827622391424336,0.05791265589205199,0.10676454407201846,1.5112118179500431
VEIL.L,0.2656236471598424,-0.4219085423888815,0.05983538950694858,-1.2527414658467362
ELM.L,-0.30923747375036076,-0.5484266375851883,-0.009397576786219913,0.40604668810603745
FRAS.L,0.2510916020381941,0.322571911895681,0.1459641991730909,0.47560263603397035
888.L,0.5218575231285001,0.8288193550407515,0.07395938437260666,-0.6368697149568575
STOB.L,-4.4481719708683825,-0.9197371937106211,0.04823164238772337,1.431955802821822
TUI.L,-0.5652809503251359,-0.12372140855203186,0.017959243531225647,0.3926067673689822
SBRE.L,0.3645753239225103,0.038508428815883344,0.059907052875492174,-1.2499386296213495
PPH.L,0.2918494217195808,-0.14139572772158274,0.18308730178197108,0.9212013249284826
BRW.L,0.34012428162469915,-0.5249109346259657,0.07223590196141966,-0.8156003415712143
PETS.L,0.346370636714852,0.5120009794856993,0.13494707345441606,0.548707370968039
CAPC.L,-0.5104353694941954,-0.8522393661952989,0.1111077925573396,-0.33985082709106096
OSB.L,0.0759593991008667,-1.3501822004477837,0.07866323675242093,-1.1678627430014943
FGT.L,-1.8446865398383365,-0.6875243655906612,0.05919783861287715,-1.1384841628123177
GFS.L,0.5860062474022997,0.2883203561789457,0.1443190085651246,1.4664010566693293
JUST.L,0.10545118573706645,-0.5209212416512424,0.07701035302924263,-1.1208091821555732
JAM.L,0.4786352817806642,-0.678354913683926,0.06408194358827818,-1.07337470591357
AML.L,-1.0618763276898229,-2.0293391306506097,0.029730038551082548,0.8762260025671305
JII.L,-4.005635900378751,-0.8127901827887646,0.05983538950694858,-1.2527414658467362
FXPO.L,1.4508144966237317,1.8111402077416385,0.06709617037085286,-0.29863759384105326
UTG.L,-0.14249022780857903,-0.6884921514105611,-0.10413138563765846,0.5858347742785174
WEIR.L,0.1922944642202009,-0.11942377136109582,0.21131150570648702,0.670730834112783
SYNT.L,-0.04279025198591195,-0.09307153152014257,-1.0586527792203868,0.707897545163629
FCIT.L,0.019621020915933787,-0.7062181693008253,-0.37576334649067866,-0.8318169952453437
GRG.L,-1.1432190343184505,-2.261227814094941,0.018935593086462244,1.4350976975162553
EQN.L,0.03773685700662769,-0.3998708330361368,-3.473584583170257,0.5464383292297916
BAKK.L,0.20062111666429155,0.11004214702158994,0.176633270999305,0.3160045613095801
IPO.L,0.11985649241069939,-1.0070314126250888,0.11741300139689971,-0.8292889699928363
INVP.L,0.24644854647959952,-0.6075592749282478,0.15492921178882413,-0.7762432614123862
LMP.L,0.06430725438479273,-0.5175770872963954,1.508759526795349,0.7061691311630762
RNK.L,0.5964990159045689,0.9033759648523612,0.11214860375581605,0.8233408491595219
JMG.L,0.3672749780954787,-0.716952736377576,0.05983538950694858,-1.2527414658467362
MCRO.L,-1.0306227960527157,-0.2380348659608849,0.029121917413195083,0.7150063437791017
FCH.L,-1.2763315663967985,-0.9411067121964609,-0.016135833213139494,2.0788983668601273
HRI.L,0.6231556947285647,-0.6792990778148282,0.05983538950694858,-1.2527414658467362
ENOG.L,-0.3777713470322871,-0.6846090521207093,0.003362998888394662,0.6098856022070361
