period,accountsPayable,accruedExpenses,additionalPaidInCapital,cashDuefromBanks,commonStockTotal,customerLiabilityAcceptances,deferredIncomeTax,goodwillNet,intangiblesNet,longTermDebt,longTermInvestments,minorityInterest_x,netLoans,otherAssetsTotal,otherCurrentliabilitiesTotal,otherEarningAssetsTotal,otherEquityTotal,otherLiabilitiesTotal,otherLongTermAssetsTotal,propertyPlantEquipmentTotalNet,retainedEarnings,tangibleBookValueperShare,totalAssets,totalCommonSharesOutstanding,totalDebt,totalDeposits,totalEquity,totalLiabilities,totalLiabilitiesShareholdersEquity,totalLongTermDebt,totalShortTermBorrowings,unrealizedGainLoss,dilutedAverageShares,dilutedEPS,interestIncomeBank,loanLossProvision,minorityInterest_y,netIncome,netIncomeAfterTaxes,netIncomeBeforeTaxes,netInterestIncAfterLoanLossProv,netInterestIncome,nonInterestExpenseBank,nonInterestIncomeBank,provisionforIncomeTaxes,totalAdjustmentstoNetIncome,totalInterestExpense,capitalExpenditures,cashInterestPaid,cashTaxesPaid,cashfromFinancingActivities,cashfromInvestingActivities,cashfromOperatingActivities,changesinWorkingCapital,depreciationDepletion,financingCashFlowItems,foreignExchangeEffects,issuanceRetirementofDebtNet,issuanceRetirementofStockNet,netChangeinCash,netIncomeStartingLine,nonCashItems,otherInvestingCashFlowItemsTotal,totalCashDividendsPaid,ticker,market,accountsReceivableTradeNet,accumulatedDepreciationTotal,cashEquivalents,cashandShortTermInvestments,currentPortofLTDebtCapitalLeases,noteReceivableLongTerm,notesPayableShortTermDebt,otherCurrentAssetsTotal,otherReceivables,prepaidExpenses,propertyPlantEquipmentTotalGross,totalCurrentAssets,totalCurrentLiabilities,totalInventory,totalReceivablesNet,costofRevenueTotal,depreciationAmortization,gainLossonSaleofAssets,grossProfit,interestExpIncNetOperatingTotal,interestIncExpNetNonOperatingTotal,operatingIncome,otherNonOperatingIncExpNet,otherOperatingExpensesTotal,revenue,sellingGeneralAdminExpensesTotal,totalOperatingExpense,unusualExpenseIncome,cash,shortTermInvestments,treasuryStockCommon,insuranceReceivables,policyLiabilities,amortizationofPolicyAcquisitionCosts,lossesBenefitsandAdjustmentsTotal,netInvestmentIncome,otherRevenueTotal,totalPremiumsEarned,cashPayments,cashReceipts,researchDevelopment,minorityInterest,payableAccrued,amortization,deferredTaxes,deferredPolicyAcquisitionCosts,realizedUnrealizedGainsLosses,otherBearingLiabilitiesTotal,totalPreferredSharesOutstanding,fuelExpense,eSOPDebtGuarantee,equityInAffiliates
2020-03-31,3934.0,3,,,1025.0,,234.0,4309,2179.0,3095.0,191.0,16,,,5012,,-695.0,1109.0,1149.0,2401.0,8191.0,40.61414,22305.0,50.05646,3476.0,,8521.0,13784.0,22305.0,3277.0,,,50.105,2.05568,,,-3,98.0,106.0,150.0,,,,,44.0,,,-67.0,,89.0,-7.0,-109.0,-35.0,-304.0,,0.0,-39.0,-7.0,0.0,-190.0,319.0,-50.0,-42.0,,FLS.CO,CO,6892.0,,811.0,811.0,199.0,,0.0,,1107.0,540.0,,12076.0,9148.0,2726.0,7999.0,3478.0,173,,1047.0,,4.0,146.0,,-12,4525.0,740.0,901.0,0,,,,,,,,,,,,,,,,,,,,,,,,
2019-12-31,4350.0,4,,,1025.0,,352.0,4376,2235.0,2890.0,209.0,14,,,5370,,-328.0,1170.0,1246.0,2512.0,8082.0,43.31109,23532.0,50.05646,3493.0,,8779.0,14753.0,23532.0,3094.0,,,50.158,4.5623,,,-3,224.0,229.0,323.0,,,,,94.0,,,-146.0,,113.0,7.0,-92.0,327.0,-276.0,,0.0,-22.0,2.0,5.0,220.0,580.0,23.0,54.0,0.0,FLS.CO,CO,7680.0,,1001.0,1001.0,399.0,,0.0,,968.0,591.0,,12954.0,10123.0,2714.0,8648.0,4695.0,187,,1327.0,,-70.0,393.0,,-20,6022.0,763.0,934.0,4,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-30,3819.0,8,,,1025.0,,327.0,4398,2249.0,3121.0,209.0,15,,,5733,,-217.0,1096.0,1198.0,2584.0,7881.0,40.80539,23148.0,50.04241,3461.0,,8689.0,14459.0,23148.0,3329.0,,,50.155,3.80819,,,1,191.0,190.0,284.0,,,,,94.0,,,-106.0,,57.0,-115.0,-111.0,244.0,-144.0,,0.0,8.0,-123.0,8.0,26.0,459.0,-71.0,-5.0,0.0,FLS.CO,CO,7260.0,,781.0,781.0,132.0,,0.0,0.0,1113.0,446.0,,12510.0,9692.0,2910.0,8373.0,3610.0,165,,1126.0,,-10.0,294.0,,-11,4736.0,678.0,832.0,0,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-30,3914.0,8,,,1025.0,,320.0,4323,2254.0,3216.0,207.0,16,,,5921,,-394.0,1034.0,1185.0,2525.0,7666.0,34.39156,23067.0,50.01227,3557.0,,8297.0,14770.0,23067.0,3439.0,,,50.155,4.65897,,,-1,222.0,234.0,349.0,,,,,115.0,,,-88.0,,43.0,13.0,-373.0,143.0,-353.0,,1.0,-12.0,458.0,4.0,-229.0,574.0,-78.0,-285.0,-450.0,FLS.CO,CO,7269.0,,755.0,755.0,118.0,,0.0,0.0,1257.0,399.0,,12573.0,9961.0,2893.0,8526.0,4157.0,193,,1315.0,,-32.0,381.0,,-13,5472.0,753.0,934.0,1,,,,,,,,,,,,,,,,,,,,,,,,
2019-12-31,7034.0,,,,185.0,,1344.0,21257,3308.0,16308.0,336.0,24,,,10114,,-892.0,1517.0,662.0,4472.0,13421.0,-65.19827,50061.0,184.69814,17505.0,,12523.0,37538.0,50061.0,16308.0,,,186.04,5.31994,,,-9,960.0,972.0,1455.0,,,,,483.0,,,-592.0,388,11.0,-7494.0,161.0,3880.0,841.0,851,-232.0,95.0,-7262.0,,-3358.0,1872.0,316.0,753.0,0.0,ISS.CO,CO,12085.0,,2670.0,2670.0,1197.0,,0.0,1806,3190.0,,,20026.0,18345.0,275.0,15275.0,3872.0,851,,36797.0,,-312.0,1832.0,-65,9047,40669.0,25027.0,34965.0,40,,,-191.0,,,,,,,,,,,,,,,,,,,,,
2019-06-30,3430.0,,,,185.0,,1326.0,20960,3319.0,23340.0,315.0,24,,,12701,,-906.0,1678.0,803.0,4700.0,12148.0,-70.61798,54789.0,184.698,24394.0,,11236.0,43553.0,54789.0,23340.0,,,185.96,4.33278,,,-12,390.0,778.0,1038.0,,,,,260.0,,,-541.0,284,502.0,1623.0,-691.0,-1816.0,-4000.0,766,-115.0,78.0,3160.0,,-806.0,1418.0,0.0,-150.0,-1422.0,ISS.CO,CO,11527.0,,6028.0,6028.0,1054.0,,0.0,3679,3213.0,,,24692.0,17185.0,245.0,14740.0,3713.0,766,,34173.0,,-275.0,1365.0,-52,7428,37886.0,24561.0,32808.0,53,,,-191.0,,,,,,,,,,,,,,,,,,,,,
2020-06-30,,29,,,1511.0,,904.0,,7208.0,9873.0,43627.0,1.0,,3604.0,278,,-19.0,942.0,0.0,807.0,10361.0,15.39435,60252.0,301.734,11074.0,,11853.0,48399.0,60252.0,9873.0,,,301.56692,4.13175,,,,1246.0,1246.0,1539.0,,,,,293.0,,,-9.0,-24,-92.0,675.0,-1673.0,569.0,-1307.0,,0.0,8.0,579.0,96,-421.0,,,-1664.0,0.0,TRYG.CO,CO,,,,,,116,1201.0,,,,,,,,670.0,,,,,24,,1610.0,-71,-485,,152.0,3874.0,,843.0,,,3377.0,35171.0,661.0,3522.0,92.0,,5176.32,-2819.0,4811.0,,,,,,,,,,,,
2020-03-31,,35,,,1511.0,,907.0,,7156.0,11342.0,41957.0,,,4468.0,108,,-68.0,1700.0,,818.0,9015.0,10.94461,59880.0,301.701,11930.0,,10458.0,49422.0,59880.0,11342.0,,,300.68027,-1.47,,,,-442.0,-442.0,-372.0,,,,,70.0,,,-3.0,-32,-166.0,-1280.0,-287.0,1971.0,305.0,,1.0,-7.0,-159.0,-109,397.0,,,-284.0,-1013.0,TRYG.CO,CO,,,,,,147,588.0,,,,,,,,1326.0,,,,,32,,-277.0,-95,1016,,184.0,5900.0,,1265.0,,,2743.0,34742.0,644.0,4024.0,139.0,,5264.639999999999,-5363.0,7227.0,,,,,,,,,,,,
2019-12-31,,33,,,1511.0,,911.0,,7364.0,10954.0,44262.0,,,3073.0,125,,-22.0,1187.0,,885.0,10596.0,15.648,59059.0,301.69999,11665.0,,12085.0,46974.0,59059.0,10954.0,,,303.16156,2.32879,,,,705.0,706.0,940.0,,,,,234.0,,,-15.0,-44,-573.0,-415.0,1882.0,-1592.0,-768.0,,,1.0,174.0,-76,-124.0,,,1897.0,-514.0,TRYG.CO,CO,,,,,,52,711.0,,,,,,,,588.0,,,,,53,,994.0,-54,-190,,168.0,4517.0,,868.0,,,1967.0,33053.0,666.0,3820.0,132.0,,5163.84,-5129.0,4922.0,,,,,,,,,,,,
2019-09-30,,24,,,1511.0,,895.0,,7317.0,9344.0,43645.0,,,3205.0,335,,-34.0,1302.0,,951.0,10420.0,15.16145,59169.0,302.082,9836.0,,11897.0,47272.0,59169.0,9344.0,,,301.12503,1.99253,,,,599.0,600.0,779.0,,,,,179.0,,,-54.0,-44,-9.0,-472.0,-954.0,1810.0,134.0,,0.0,-2.0,40.0,2,382.0,,,-900.0,-514.0,TRYG.CO,CO,,,,,,69,492.0,,,,,,,,684.0,,,,,44,,872.0,-93,63,,206.0,4689.0,,992.0,,,2306.0,34880.0,600.0,3776.0,137.0,,5207.04,-3294.0,5023.0,,,,,,,,,,,,
2019-06-30,,30,,,1511.0,,917.0,,7271.0,7971.0,42574.0,,,3096.0,312,,-24.0,1030.0,24.0,923.0,10395.0,15.26407,57919.0,302.082,8383.0,,11882.0,46037.0,57919.0,7971.0,,,301.93579,2.58995,,,,782.0,782.0,979.0,,,,,197.0,,,25.0,-45,-116.0,-578.0,68.0,671.0,-425.0,,-1.0,-2.0,-112.0,48,159.0,,,43.0,-513.0,TRYG.CO,CO,,,,,,183,412.0,,,,,,,,645.0,,,,,45,,1084.0,-105,-63,,178.0,4309.0,,610.0,,,2593.0,35365.0,625.0,3524.0,118.0,,5064.0,-3769.0,5026.0,,,,,,,,,,,,
2020-03-31,2337.0,,,,100.0,,155.0,4352,2972.0,3373.0,279.0,,,,2454,,813.0,278.0,706.0,5910.0,5105.0,-40.27929,19529.0,91.66,10673.0,,3632.0,15897.0,19529.0,5840.0,,,80.0,3.23438,,,,-23.0,-23.0,-30.0,,,,,-7.0,-1.0,,-118.0,47,76.0,-419.0,-124.0,55.0,-445.0,530,0.0,-29.0,838.0,-431,-517.0,-30.0,0.0,-6.0,-826.0,PNDORA.CO,CO,1081.0,,,537.0,4833.0,,0.0,281,1256.0,,,5310.0,9624.0,2155.0,2337.0,942.0,,,3230.0,,-234,204.0,,-1.0,4172.0,2592.0,3026.0,435,537.0,,-2386.0,,,,,,,,,,,,,,,,,,,,,
2019-12-31,3095.0,,,,100.0,,235.0,4416,3029.0,5158.0,290.0,,,,2682,,1167.0,279.0,676.0,6595.0,5946.0,-23.63082,21571.0,92.92948,10031.0,,5249.0,16322.0,21571.0,7962.0,,,95.69796,22.21326,,,,1741.0,1741.0,2276.0,,,,,535.0,,,-212.0,43,649.0,-2822.0,-191.0,3204.0,355.0,560,1.0,-3.0,-2223.0,-600,188.0,2276.0,13.0,21.0,0.0,PNDORA.CO,CO,1643.0,,,1054.0,2069.0,,0.0,260,1471.0,,,6565.0,7846.0,2137.0,3114.0,1721.0,,,6235.0,,-27,2303.0,,-1.0,7956.0,3730.0,3932.0,203,1054.0,,-1964.0,,,,,,,,,,,,,,,,,,,,,
2019-09-30,2222.0,,,,100.0,,359.0,4418,3070.0,4008.0,314.0,,,,2746,,1298.0,250.0,1032.0,6866.0,4203.0,-35.27008,21968.0,92.17445,12154.0,,4237.0,17731.0,21968.0,6963.0,,,108.18182,5.44315,,,,-119.0,-119.0,-154.0,,,,,-35.0,,,-186.0,40,72.0,-1059.0,-180.0,1209.0,701.0,718,-56.0,7.0,392.0,-535,-23.0,-154.0,-56.0,6.0,-860.0,PNDORA.CO,CO,1256.0,,,866.0,5191.0,,0.0,372,939.0,,,6268.0,10159.0,2835.0,2195.0,947.0,,,3468.0,,45,-198.0,-1.0,,4415.0,2945.0,3666.0,721,866.0,,-1364.0,,,,,,,,,,,,,,,,,,,,,
2019-06-30,1632.0,,,,100.0,,420.0,4351,3209.0,3407.0,313.0,,,,2124,,1090.0,278.0,968.0,6929.0,4797.0,-22.04515,21533.0,92.17445,11551.0,,5528.0,16005.0,21533.0,6456.0,,,99.24528,7.72754,,,,526.0,526.0,679.0,,,,,153.0,,,-170.0,44,148.0,-1294.0,-171.0,1539.0,75.0,527,-2.0,-4.0,-735.0,-557,70.0,679.0,258.0,-1.0,0.0,PNDORA.CO,CO,1124.0,,,890.0,5095.0,,0.0,250,890.0,,,5763.0,8851.0,2609.0,2014.0,1123.0,,,3570.0,,-85,764.0,,,4693.0,2739.0,2806.0,67,890.0,,-459.0,,,,,,,,,,,,,,,,,,,,,
2020-03-31,1078.0,,,,570.0,,907.0,963,937.0,3515.0,59.0,12,,,1848,,66.0,102.0,1151.0,10103.0,10116.0,31.42142,20423.0,281.71865,5724.0,,10752.0,9671.0,20423.0,3954.0,,,283.4,2.87579,,,0,815.0,815.0,1019.0,,,,,204.0,,,-138.0,16,290.0,-607.0,-138.0,963.0,-538.0,,,-3.0,913.0,-38,215.0,815.0,686.0,0.0,-1482.0,NZYM-B.CO,CO,3089.0,,926.0,949.0,1770.0,30,0.0,23.0,559.0,,,7180.0,4696.0,2560.0,3648.0,1626.0,,,2160.0,,-72,1095.0,-4,-23,3786.0,628.0,1065.0,,,23,,,,,,,,,,,460.0,,,,,,,,,,,
2019-12-31,1117.0,,,,582.0,,879.0,965,961.0,2706.0,59.0,12,,,2075,,76.0,184.0,1161.0,10212.0,10810.0,33.91666,20437.0,281.33668,4702.0,,11468.0,8969.0,20437.0,3159.0,,,283.40519,3.25329,,,0,922.0,922.0,1059.0,,,,,137.0,,,-421.0,17,666.0,-87.0,-418.0,572.0,-811.0,,,-7.0,519.0,-606,60.0,922.0,461.0,3.0,0.0,NZYM-B.CO,CO,3107.0,,711.0,726.0,1543.0,29,0.0,62.0,542.0,,,7050.0,4735.0,2613.0,3649.0,1654.0,,,2077.0,,114,1103.0,-158,-50,3731.0,581.0,974.0,,,15,,,,,,,,,,,443.0,,,,,,,,,,,
2019-09-30,1040.0,,,,582.0,,796.0,971,971.0,2116.0,59.0,12,,,2694,,173.0,218.0,963.0,10321.0,10437.0,32.15973,20152.0,287.62677,4200.0,,11192.0,8960.0,20152.0,2627.0,,,285.7,2.23311,,,0,638.0,638.0,771.0,,,,,133.0,,,-178.0,18,51.0,-1098.0,-177.0,1010.0,-63.0,,0.0,6.0,-480.0,-618,-259.0,638.0,435.0,1.0,0.0,NZYM-B.CO,CO,2963.0,,651.0,673.0,1573.0,32,0.0,,398.0,,,6835.0,5307.0,2801.0,3361.0,1647.0,,,2057.0,,-79,852.0,-2,-5,3704.0,690.0,1205.0,,,22,,,,,,,,,,,520.0,,,,,,,,,,,
2019-06-30,1097.0,,,,582.0,,803.0,967,1005.0,2136.0,59.0,12,,,2276,,-41.0,211.0,955.0,10232.0,10469.0,31.42267,20059.0,287.62677,4650.0,,11010.0,9049.0,20059.0,2670.0,,,288.1,3.11697,,,0,898.0,898.0,1109.0,,,,,211.0,,,-254.0,27,32.0,-1030.0,177.0,1051.0,133.0,,,-15.0,-320.0,-709,183.0,898.0,20.0,431.0,-1.0,NZYM-B.CO,CO,2715.0,,910.0,929.0,1980.0,32,0.0,,385.0,,,6809.0,5353.0,2780.0,3100.0,1571.0,,,1887.0,,-74,1189.0,-6,-455,3458.0,608.0,698.0,,,19,,,,,,,,,,,545.0,,,,,,,,,,,
2020-03-31,150.91,78.229,,,583.003,,,,5424.399,3110.481,,,,,29.751,,-37.619,,3.625,946.659,4567.05,-5.38666,9005.271,58.26353,3635.828,,5110.553,3894.718,9005.271,3184.714,,-1.282,40.83952,12.6,,,,514.578,514.578,515.587,,,,,1.009,,,-33.615,9.337,0.0,1363.041,-630.145,432.027,-215.537,83.616,-77.483,2.055,-1386.466,2826.99,1166.978,514.578,49.37,-596.53,,BAVA.CO,CO,213.396,,1464.523,2205.15,451.114,,0.0,0.0,16.138000000000005,9.14,,2630.588,710.004,186.764,229.534,243.084,,,122.321,,-20.807,557.588,-21.194,-627.647,365.405,126.299,-435.267,,,740.627,-0.599,,,,,,,,,,66.081,,,,,,,,,,,
2019-12-31,112.088,77.427,,,323.891,,,,5484.255,3086.843,,,,,9.009,,-37.558,,1.445,906.494,1577.519,-88.46431,7047.068,40.90689,4983.089,,1865.455,5181.613,7047.068,3134.392,,2.287,40.53163,-1.13218,,,,-45.889,-45.889,-46.833,,,,,-0.944,,,-63.968999999999994,6.1530000000000005,-0.5350000000000001,1367.069,-1163.78,-7.0020000000000095,-18.855000000000004,14.140999999999998,-2.158,-3.297,1369.2269999999999,0.0,192.99,-45.88900000000001,43.601,-1099.8110000000001,,BAVA.CO,CO,44.069,,297.545,472.364,1848.697,,0.0,3.53,24.959999999999994,9.189,,654.874,2047.221,100.762,69.029,134.642,,,155.551,,-16.216,-30.617,,,290.193,65.228,186.168,,,174.819,-0.684,,,,,,,,,,120.94,,,,,,,,,,,
