period,accountsPayable,accruedExpenses,additionalPaidInCapital,cashDuefromBanks,commonStockTotal,customerLiabilityAcceptances,deferredIncomeTax,goodwillNet,intangiblesNet,longTermDebt,longTermInvestments,minorityInterest_x,netLoans,otherAssetsTotal,otherCurrentliabilitiesTotal,otherEarningAssetsTotal,otherEquityTotal,otherLiabilitiesTotal,otherLongTermAssetsTotal,propertyPlantEquipmentTotalNet,retainedEarnings,tangibleBookValueperShare,totalAssets,totalCommonSharesOutstanding,totalDebt,totalDeposits,totalEquity,totalLiabilities,totalLiabilitiesShareholdersEquity,totalLongTermDebt,totalShortTermBorrowings,unrealizedGainLoss,dilutedAverageShares,dilutedEPS,interestIncomeBank,loanLossProvision,minorityInterest_y,netIncome,netIncomeAfterTaxes,netIncomeBeforeTaxes,netInterestIncAfterLoanLossProv,netInterestIncome,nonInterestExpenseBank,nonInterestIncomeBank,provisionforIncomeTaxes,totalAdjustmentstoNetIncome,totalInterestExpense,capitalExpenditures,cashInterestPaid,cashTaxesPaid,cashfromFinancingActivities,cashfromInvestingActivities,cashfromOperatingActivities,changesinWorkingCapital,depreciationDepletion,financingCashFlowItems,foreignExchangeEffects,issuanceRetirementofDebtNet,issuanceRetirementofStockNet,netChangeinCash,netIncomeStartingLine,nonCashItems,otherInvestingCashFlowItemsTotal,totalCashDividendsPaid,ticker,market,accountsReceivableTradeNet,accumulatedDepreciationTotal,cashEquivalents,cashandShortTermInvestments,currentPortofLTDebtCapitalLeases,noteReceivableLongTerm,notesPayableShortTermDebt,otherCurrentAssetsTotal,otherReceivables,prepaidExpenses,propertyPlantEquipmentTotalGross,totalCurrentAssets,totalCurrentLiabilities,totalInventory,totalReceivablesNet,costofRevenueTotal,depreciationAmortization,gainLossonSaleofAssets,grossProfit,interestExpIncNetOperatingTotal,interestIncExpNetNonOperatingTotal,operatingIncome,otherNonOperatingIncExpNet,otherOperatingExpensesTotal,revenue,sellingGeneralAdminExpensesTotal,totalOperatingExpense,unusualExpenseIncome,cash,shortTermInvestments,treasuryStockCommon,insuranceReceivables,policyLiabilities,amortizationofPolicyAcquisitionCosts,lossesBenefitsandAdjustmentsTotal,netInvestmentIncome,otherRevenueTotal,totalPremiumsEarned,cashPayments,cashReceipts,researchDevelopment,minorityInterest,payableAccrued,amortization
2020-03-31,3934.0,3,,,1025.0,,234.0,4309,2179.0,3095.0,191.0,16,,,5012,,-695.0,1109.0,1149.0,2401.0,8191.0,40.61414,22305.0,50.05646,3476.0,,8521.0,13784.0,22305.0,3277.0,,,50.105,2.05568,,,-3,98.0,106.0,150.0,,,,,44.0,,,-67.0,,89.0,-7.0,-109.0,-35.0,-304.0,,0.0,-39.0,-7.0,0.0,-190.0,319.0,-50.0,-42.0,,FLS.CO,CO,6892.0,,811.0,811.0,199.0,,0.0,,1107.0,540.0,,12076.0,9148.0,2726.0,7999.0,3478.0,173,,1047.0,,4.0,146.0,,-12,4525.0,740.0,901.0,0,,,,,,,,,,,,,,,,
2019-12-31,4350.0,4,,,1025.0,,352.0,4376,2235.0,2890.0,209.0,14,,,5370,,-328.0,1170.0,1246.0,2512.0,8082.0,43.31109,23532.0,50.05646,3493.0,,8779.0,14753.0,23532.0,3094.0,,,50.158,4.5623,,,-3,224.0,229.0,323.0,,,,,94.0,,,-146.0,,113.0,7.0,-92.0,327.0,-276.0,,0.0,-22.0,2.0,5.0,220.0,580.0,23.0,54.0,0.0,FLS.CO,CO,7680.0,,1001.0,1001.0,399.0,,0.0,,968.0,591.0,,12954.0,10123.0,2714.0,8648.0,4695.0,187,,1327.0,,-70.0,393.0,,-20,6022.0,763.0,934.0,4,,,,,,,,,,,,,,,,
2019-09-30,3819.0,8,,,1025.0,,327.0,4398,2249.0,3121.0,209.0,15,,,5733,,-217.0,1096.0,1198.0,2584.0,7881.0,40.80539,23148.0,50.04241,3461.0,,8689.0,14459.0,23148.0,3329.0,,,50.155,3.80819,,,1,191.0,190.0,284.0,,,,,94.0,,,-106.0,,57.0,-115.0,-111.0,244.0,-144.0,,0.0,8.0,-123.0,8.0,26.0,459.0,-71.0,-5.0,0.0,FLS.CO,CO,7260.0,,781.0,781.0,132.0,,0.0,0.0,1113.0,446.0,,12510.0,9692.0,2910.0,8373.0,3610.0,165,,1126.0,,-10.0,294.0,,-11,4736.0,678.0,832.0,0,,,,,,,,,,,,,,,,
2019-06-30,3914.0,8,,,1025.0,,320.0,4323,2254.0,3216.0,207.0,16,,,5921,,-394.0,1034.0,1185.0,2525.0,7666.0,34.39156,23067.0,50.01227,3557.0,,8297.0,14770.0,23067.0,3439.0,,,50.155,4.65897,,,-1,222.0,234.0,349.0,,,,,115.0,,,-88.0,,43.0,13.0,-373.0,143.0,-353.0,,1.0,-12.0,458.0,4.0,-229.0,574.0,-78.0,-285.0,-450.0,FLS.CO,CO,7269.0,,755.0,755.0,118.0,,0.0,0.0,1257.0,399.0,,12573.0,9961.0,2893.0,8526.0,4157.0,193,,1315.0,,-32.0,381.0,,-13,5472.0,753.0,934.0,1,,,,,,,,,,,,,,,,
2019-12-31,7034.0,,,,185.0,,1344.0,21257,3308.0,16308.0,336.0,24,,,10114,,-892.0,1517.0,662.0,4472.0,13421.0,-65.19827,50061.0,184.69814,17505.0,,12523.0,37538.0,50061.0,16308.0,,,186.04,5.31994,,,-9,960.0,972.0,1455.0,,,,,483.0,,,-592.0,388,11.0,-7494.0,161.0,3880.0,841.0,851,-232.0,95.0,-7262.0,,-3358.0,1872.0,316.0,753.0,0.0,ISS.CO,CO,12085.0,,2670.0,2670.0,1197.0,,0.0,1806,3190.0,,,20026.0,18345.0,275.0,15275.0,3872.0,851,,36797.0,,-312.0,1832.0,-65,9047,40669.0,25027.0,34965.0,40,,,-191.0,,,,,,,,,,,,,
2019-06-30,3430.0,,,,185.0,,1326.0,20960,3319.0,23340.0,315.0,24,,,12701,,-906.0,1678.0,803.0,4700.0,12148.0,-70.61798,54789.0,184.698,24394.0,,11236.0,43553.0,54789.0,23340.0,,,185.96,4.33278,,,-12,390.0,778.0,1038.0,,,,,260.0,,,-541.0,284,502.0,1623.0,-691.0,-1816.0,-4000.0,766,-115.0,78.0,3160.0,,-806.0,1418.0,0.0,-150.0,-1422.0,ISS.CO,CO,11527.0,,6028.0,6028.0,1054.0,,0.0,3679,3213.0,,,24692.0,17185.0,245.0,14740.0,3713.0,766,,34173.0,,-275.0,1365.0,-52,7428,37886.0,24561.0,32808.0,53,,,-191.0,,,,,,,,,,,,,
2020-06-30,,29,,,1511.0,,904.0,,7208.0,9873.0,43627.0,1.0,,3604.0,278,,-19.0,942.0,0.0,807.0,10361.0,15.39435,60252.0,301.734,11074.0,,11853.0,48399.0,60252.0,9873.0,,,301.56692,4.13175,,,,1246.0,1246.0,1539.0,,,,,293.0,,,-9.0,-24,-92.0,675.0,-1673.0,569.0,-1307.0,,0.0,8.0,579.0,96,-421.0,,,-1664.0,0.0,TRYG.CO,CO,,,,,,116,1201.0,,,,,,,,670.0,,,,,24,,1610.0,-71,-485,,152.0,3874.0,,843.0,,,3377.0,35171.0,661.0,3522.0,92.0,,5176.32,-2819.0,4811.0,,,,
2020-03-31,,35,,,1511.0,,907.0,,7156.0,11342.0,41957.0,,,4468.0,108,,-68.0,1700.0,,818.0,9015.0,10.94461,59880.0,301.701,11930.0,,10458.0,49422.0,59880.0,11342.0,,,300.68027,-1.47,,,,-442.0,-442.0,-372.0,,,,,70.0,,,-3.0,-32,-166.0,-1280.0,-287.0,1971.0,305.0,,1.0,-7.0,-159.0,-109,397.0,,,-284.0,-1013.0,TRYG.CO,CO,,,,,,147,588.0,,,,,,,,1326.0,,,,,32,,-277.0,-95,1016,,184.0,5900.0,,1265.0,,,2743.0,34742.0,644.0,4024.0,139.0,,5264.639999999999,-5363.0,7227.0,,,,
2019-12-31,,33,,,1511.0,,911.0,,7364.0,10954.0,44262.0,,,3073.0,125,,-22.0,1187.0,,885.0,10596.0,15.648,59059.0,301.69999,11665.0,,12085.0,46974.0,59059.0,10954.0,,,303.16156,2.32879,,,,705.0,706.0,940.0,,,,,234.0,,,-15.0,-44,-573.0,-415.0,1882.0,-1592.0,-768.0,,,1.0,174.0,-76,-124.0,,,1897.0,-514.0,TRYG.CO,CO,,,,,,52,711.0,,,,,,,,588.0,,,,,53,,994.0,-54,-190,,168.0,4517.0,,868.0,,,1967.0,33053.0,666.0,3820.0,132.0,,5163.84,-5129.0,4922.0,,,,
2019-09-30,,24,,,1511.0,,895.0,,7317.0,9344.0,43645.0,,,3205.0,335,,-34.0,1302.0,,951.0,10420.0,15.16145,59169.0,302.082,9836.0,,11897.0,47272.0,59169.0,9344.0,,,301.12503,1.99253,,,,599.0,600.0,779.0,,,,,179.0,,,-54.0,-44,-9.0,-472.0,-954.0,1810.0,134.0,,0.0,-2.0,40.0,2,382.0,,,-900.0,-514.0,TRYG.CO,CO,,,,,,69,492.0,,,,,,,,684.0,,,,,44,,872.0,-93,63,,206.0,4689.0,,992.0,,,2306.0,34880.0,600.0,3776.0,137.0,,5207.04,-3294.0,5023.0,,,,
